Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Nate Kondylis,564,777.0,Ryan Gastings,394,891.0,1B,114.0,T3,1,0,2,4,1.43%,-1.43%,0,0,13,2,1,ATL,TOR,1B,1B,1B,,,,,1
Tleyber Alfredo Cruz Fernandez III,2942,571.0,Ryan Gastings,394,225.0,DP,346.0,T3,1,1,2,4,-4.29%,4.29%,0,0,13,2,1,ATL,TOR,RGO,RGO,K,,,,,1
Hiram Birnbaum,3206,318.0,Skye Comet,198,888.0,RGO,430.0,B3,0,0,2,4,-3.28%,3.28%,0,0,14,2,1,TOR,ATL,RGO,RGO,RGO,,,,,1
Captain Harry C Legs,480,888.0,Skye Comet,198,222.0,PO,334.0,B3,1,0,2,4,-2.78%,2.78%,0,0,14,2,1,TOR,ATL,PO,PO,K,,,,,1
Jack Jackie Jackson,354,618.0,Skye Comet,198,420.0,K,198.0,B3,2,0,2,4,-2.07%,2.07%,0,0,14,2,1,TOR,ATL,K,K,FO,,,,,1
Seymour Asses,2642,67.0,Ryan Gastings,394,75.0,HR,8.0,T4,0,0,2,4,8.05%,-8.05%,1,1,15,2,1,ATL,TOR,HR,HR,HR,,,,394.0,1
Weehaddababy Itzaboi,3254,666.0,Ryan Gastings,394,883.0,FO,217.0,T4,0,0,2,5,-0.98%,0.98%,0,0,15,2,1,ATL,TOR,FO,FO,FO,,,,,1
Jamal Jackson,2815,67.0,Ryan Gastings,394,372.0,PO,305.0,T4,1,0,2,5,-0.83%,0.83%,0,0,15,2,1,ATL,TOR,PO,PO,K,,,,,1
TheGreatBambi,3056,22.0,Ryan Gastings,394,32.0,HR,10.0,T4,2,0,2,5,5.73%,-5.73%,1,1,15,2,1,ATL,TOR,HR,HR,HR,,,,394.0,1
Tex Wolffe,2486,670.0,Ryan Gastings,394,654.0,3B,16.0,T4,2,0,2,6,0.71%,-0.71%,0,0,15,2,1,ATL,TOR,3B,3B,HR,,,,,1
Chilidog Clayton,3261,567.0,Ryan Gastings,394,3.0,LGO,436.0,T4,2,3,2,6,-1.19%,1.19%,0,0,15,2,1,ATL,TOR,LGO,LGO,RGO,,,,,1
Robbie,1745,6.0,Skye Comet,198,303.0,K,297.0,B4,0,0,2,6,-1.89%,1.89%,0,0,16,2,1,TOR,ATL,K,K,K,,,,,1
Mylo Grams,396,499.0,Skye Comet,198,394.0,1B,105.0,B4,1,0,2,6,2.08%,-2.08%,0,0,16,2,1,TOR,ATL,1B,1B,1B,,,,,1
Graham Grams,400,327.0,Skye Comet,198,988.0,PO,339.0,B4,1,1,2,6,-2.19%,2.19%,0,0,16,2,1,TOR,ATL,PO,PO,K,,,,,1
Rod Kimball,2597,266.0,Skye Comet,198,811.0,LGO,455.0,B4,2,1,2,6,-2.15%,2.15%,0,0,16,2,1,TOR,ATL,LGO,LGO,LGO,,,,,1
Bill Aural Jr. III,2774,226.0,Randy Pole,714,269.0,2B,43.0,T5,0,0,2,6,0.99%,-0.99%,0,1,17,2,1,ATL,TOR,2B,2B,2B,,,,,1
Nate Kondylis,564,420.0,Randy Pole,714,962.0,RGO,458.0,T5,0,2,2,6,-0.02%,0.02%,0,0,17,2,1,ATL,TOR,RGO,RGO,LGO,,,,,1
Laars Nootbaar jr,2730,201.0,Randy Pole,714,190.0,HR,11.0,T5,1,3,2,6,2.06%,-2.06%,2,1,17,2,1,ATL,TOR,HR,HR,HR,714.0,,,714.0,1
Seymour Asses,2642,667.0,Randy Pole,714,534.0,BB,133.0,T5,1,0,2,8,0.05%,-0.05%,0,0,17,2,1,ATL,TOR,BB,FO,1B,,,,,1
Weehaddababy Itzaboi,3254,876.0,Randy Pole,714,362.0,DP,486.0,T5,1,1,2,8,-0.20%,0.20%,0,0,17,2,1,ATL,TOR,LGO,LGO,DP,,,,,1
Mongster Mash,344,881.0,Maxwell Slander,2817,500.0,RGO,381.0,B5,0,0,2,8,-0.47%,0.47%,0,0,18,2,1,TOR,ATL,RGO,RGO,PO,,,,,1
Captain Hate,3253,367.0,Maxwell Slander,2817,240.0,BB,127.0,B5,1,0,2,8,0.48%,-0.48%,0,0,18,2,1,TOR,ATL,BB,FO,1B,,,,,1
Hiram Birnbaum,3206,711.0,Maxwell Slander,2817,545.0,FO,166.0,B5,1,1,2,8,-0.53%,0.53%,0,0,18,2,1,TOR,ATL,FO,FO,BB,,,,,1
Captain Harry C Legs,480,545.0,Maxwell Slander,2817,675.0,BB,130.0,B5,2,1,2,8,0.59%,-0.59%,0,0,18,2,1,TOR,ATL,BB,FO,1B,,,,,1
Jack Jackie Jackson,354,240.0,Maxwell Slander,2817,67.0,FO,173.0,B5,2,4,2,8,-0.96%,0.96%,0,0,18,2,1,TOR,ATL,FO,FO,BB,,,,,1
Jamal Jackson,2815,695.0,Randy Pole,714,582.0,BB,113.0,T6,0,0,2,8,0.02%,-0.02%,0,0,19,2,1,ATL,TOR,BB,FO,1B,,,,,1
TheGreatBambi,3056,314.0,Randy Pole,714,891.0,PO,423.0,T6,0,1,2,8,-0.03%,0.03%,0,0,19,2,1,ATL,TOR,PO,PO,DP,,,,,1
Katelyn 'River' Hoshino,3110,140.0,Eli Sasak,607,103.0,HR,37.0,T1,0,0,0,0,11.33%,-11.33%,1,1,20,3,1,PHI,CWS,HR,HR,2B,,,,607.0,1
Julio Escobar,686,148.0,Eli Sasak,607,516.0,RGO,368.0,T1,0,0,0,1,-2.09%,2.09%,0,0,20,3,1,PHI,CWS,RGO,RGO,K,,,,,1
Matias Thagod,2723,55.0,Eli Sasak,607,942.0,BB,113.0,T1,1,0,0,1,2.17%,-2.17%,0,0,20,3,1,PHI,CWS,BB,FO,1B,,,,,1
Charles Magnus,220,314.0,Eli Sasak,607,901.0,PO,413.0,T1,1,1,0,1,-2.13%,2.13%,0,0,20,3,1,PHI,CWS,PO,PO,DP,,,,,1
Jeff Dingerhitter,298,311.0,Eli Sasak,607,4.0,K,307.0,T1,2,1,0,1,-3.35%,3.35%,0,0,20,3,1,PHI,CWS,K,K,K,,,,,1
Robert Sitkowski,3265,140.0,Carly Bae,378,838.0,PO,302.0,B1,0,0,0,1,-2.79%,2.79%,0,0,21,3,1,CWS,PHI,PO,PO,K,,,,,1
Howie Feltersnatch,230,418.0,Carly Bae,378,374.0,2B,44.0,B1,1,0,0,1,4.97%,-4.97%,0,0,21,3,1,CWS,PHI,2B,2B,2B,,,,,1
Cornbread House,3000,420.0,Carly Bae,378,122.0,RGO,298.0,B1,1,2,0,1,-3.86%,3.86%,0,0,21,3,1,CWS,PHI,RGO,RGO,K,,,,,1
Erik Hamilton,3251,530.0,Carly Bae,378,12.0,LGO,482.0,B1,2,3,0,1,-5.35%,5.35%,0,0,21,3,1,CWS,PHI,LGO,LGO,LGO,,,,,1
Dakota Carolina Montana,65,42.0,Eli Sasak,607,600.0,RGO,442.0,T2,0,0,0,1,-2.27%,2.27%,0,0,22,3,1,PHI,CWS,RGO,RGO,RGO,,,,,1
Goaty McGoatFace,2878,750.0,Eli Sasak,607,202.0,PO,452.0,T2,1,0,0,1,-2.02%,2.02%,0,0,22,3,1,PHI,CWS,PO,PO,LGO,,,,,1
Kiwi Cleveland,2679,802.0,Eli Sasak,607,586.0,FO,216.0,T2,2,0,0,1,-1.69%,1.69%,0,0,22,3,1,PHI,CWS,FO,FO,FO,,,,,1
Biff Sexy Hotbod,2668,920.0,Carly Bae,378,237.0,PO,317.0,B2,0,0,0,1,-3.11%,3.11%,0,0,23,3,1,CWS,PHI,PO,PO,K,,,,,1
Dingerz McLongball,3096,22.0,Carly Bae,378,471.0,LGO,449.0,B2,1,0,0,1,-2.69%,2.69%,0,0,23,3,1,CWS,PHI,LGO,LGO,RGO,,,,,1
Duke Houston,3023,767.0,Carly Bae,378,367.0,RGO,400.0,B2,2,0,0,1,-2.13%,2.13%,0,0,23,3,1,CWS,PHI,RGO,RGO,RGO,,,,,1
River James,2857,793.0,Murray,3267,780.0,2B,13.0,T3,0,0,0,1,5.93%,-5.93%,0,1,24,3,1,PHI,CWS,2B,3B,HR,,,,,1
Katelyn 'River' Hoshino,3110,12.0,Murray,3267,946.0,2B,66.0,T3,0,2,0,1,10.08%,-10.08%,1,1,24,3,1,PHI,CWS,2B,2B,1B,,3267.0,,,1
Julio Escobar,686,513.0,Murray,3267,404.0,BB,109.0,T3,0,2,0,2,0.95%,-0.95%,0,1,24,3,1,PHI,CWS,BB,FO,1B,,,,,1
Matias Thagod,2723,555.0,Murray,3267,430.0,1B,125.0,T3,0,4,0,2,5.82%,-5.82%,0,1,24,3,1,PHI,CWS,1B,1B,1B,,,,,1
Charles Magnus,220,666.0,Murray,3267,897.0,Sac,231.0,T3,0,7,0,2,-1.39%,1.39%,1,0,24,3,1,PHI,CWS,FO,FO,Sac,3267.0,,,,1
Jeff Dingerhitter,298,677.0,Murray,3267,704.0,2B,27.0,T3,1,4,0,3,7.35%,-7.35%,1,1,24,3,1,PHI,CWS,2B,2B,3B,,3267.0,,,1
Dakota Carolina Montana,65,111.0,Murray,3267,298.0,Sac,187.0,T3,1,6,0,4,0.59%,-0.59%,1,0,24,3,1,PHI,CWS,FO,FO,Sac,3267.0,,,,1
Goaty McGoatFace,2878,958.0,Murray,3267,1.0,2B,43.0,T3,2,2,0,5,2.48%,-2.48%,1,1,24,3,1,PHI,CWS,2B,2B,2B,,3267.0,,,1
Kiwi Cleveland,2679,2.0,Murray,3267,870.0,1B,132.0,T3,2,2,0,6,1.40%,-1.40%,1,0,24,3,1,PHI,CWS,1B,1B,1B,,3267.0,,,1
River James,2857,458.0,Murray,3267,253.0,FO,205.0,T3,2,1,0,7,-0.27%,0.27%,0,0,24,3,1,PHI,CWS,FO,FO,FO,,,,,1
Hannah Outlaw,178,97.0,Carly Bae,378,647.0,LGO,450.0,B3,0,0,0,7,-0.56%,0.56%,0,0,25,3,1,CWS,PHI,LGO,LGO,RGO,,,,,1
3PieceMcNuggets,3121,333.0,Carly Bae,378,99.0,FO,234.0,B3,1,0,0,7,-0.38%,0.38%,0,0,25,3,1,CWS,PHI,FO,FO,FO,,,,,1
Robert Sitkowski,3265,50.0,Carly Bae,378,971.0,2B,79.0,B3,2,0,0,7,0.61%,-0.61%,0,0,25,3,1,CWS,PHI,2B,2B,1B,,,,,1
Howie Feltersnatch,230,253.0,Carly Bae,378,773.0,LGO,480.0,B3,2,2,0,7,-0.82%,0.82%,0,0,25,3,1,CWS,PHI,LGO,LGO,LGO,,,,,1
Katelyn 'River' Hoshino,3110,670.0,Murray,3267,180.0,LGO,490.0,T4,0,0,0,7,-0.12%,0.12%,0,0,26,3,1,PHI,CWS,LGO,LGO,LGO,,,,,1
Julio Escobar,686,779.0,Aaron Burr,646,364.0,LGO,415.0,T4,1,0,0,7,-0.10%,0.10%,0,0,26,3,1,PHI,CWS,LGO,LGO,RGO,,,,,1
Matias Thagod,2723,498.0,Aaron Burr,646,446.0,2B,52.0,T4,2,0,0,7,0.14%,-0.14%,0,0,26,3,1,PHI,CWS,2B,2B,2B,,,,,1
Charles Magnus,220,1.0,Aaron Burr,646,407.0,PO,406.0,T4,2,2,0,7,-0.21%,0.21%,0,0,26,3,1,PHI,CWS,PO,PO,RGO,,,,,1
Cornbread House,3000,77.0,Carly Bae,378,659.0,LGO,418.0,B4,0,0,0,7,-0.42%,0.42%,0,0,27,3,1,CWS,PHI,LGO,LGO,RGO,,,,,1
Erik Hamilton,3251,510.0,Carly Bae,378,737.0,K,227.0,B4,1,0,0,7,-0.27%,0.27%,0,0,27,3,1,CWS,PHI,K,K,FO,,,,,1
Biff Sexy Hotbod,2668,935.0,Carly Bae,378,442.0,LGO,493.0,B4,2,0,0,7,-0.16%,0.16%,0,0,27,3,1,CWS,PHI,LGO,LGO,LGO,,,,,1
Jeff Dingerhitter,298,893.0,Aaron Burr,646,224.0,K,331.0,T5,0,0,0,7,-0.06%,0.06%,0,0,28,3,1,PHI,CWS,K,K,K,,,,,1
Dakota Carolina Montana,65,333.0,Aaron Burr,646,151.0,FO,182.0,T5,1,0,0,7,-0.04%,0.04%,0,0,28,3,1,PHI,CWS,FO,FO,FO,,,,,1
Goaty McGoatFace,2878,501.0,Aaron Burr,646,268.0,FO,233.0,T5,2,0,0,7,-0.04%,0.04%,0,0,28,3,1,PHI,CWS,FO,FO,FO,,,,,1
Dingerz McLongball,3096,337.0,Carly Bae,378,887.0,LGO,450.0,B5,0,0,0,7,-0.21%,0.21%,0,0,29,3,1,CWS,PHI,LGO,LGO,RGO,,,,,1
