Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Mike Honcho,445,602.0,Darth Vader,336,392.0,FO,210.0,B5,0,0,0,0,-4.12%,4.12%,0,0,147,12,2,TOR,PIT,FO,FO,,1
S.A.R. Dinka,395,667.0,Darth Vader,336,794.0,1B,127.0,B5,1,0,0,0,2.78%,-2.78%,0,1,147,12,2,TOR,PIT,1B,1B,,1
Lane Drew,190,167.0,Darth Vader,336,318.0,1B,151.0,B5,1,1,0,0,5.44%,-5.44%,0,1,147,12,2,TOR,PIT,1B,1B,,1
Graham Grams,400,476.0,Darth Vader,336,304.0,BB,172.0,B5,1,4,0,0,11.58%,-11.58%,0,1,147,12,2,TOR,PIT,BB,BB,,1
Thomas Berry,446,775.0,Darth Vader,336,636.0,1B,139.0,B5,1,7,0,0,13.82%,-13.82%,1,0,147,12,2,TOR,PIT,1B,1B,,1
Burt Maclin,2101,505.0,Darth Vader,336,812.0,K,307.0,B5,1,7,1,0,-4.31%,4.31%,0,0,147,12,2,TOR,PIT,K,K,,1
Quentin Adams,397,103.0,Darth Vader,336,216.0,BB,113.0,B5,2,7,1,0,7.13%,-7.13%,1,0,147,12,2,TOR,PIT,BB,BB,,1
Daz Reference,2114,785.0,Darth Vader,336,622.0,BB,163.0,B5,2,7,2,0,3.17%,-3.17%,1,0,147,12,2,TOR,PIT,BB,BB,,1
Ziggy Ceder,56,834.0,Darth Vader,336,288.0,LGO,454.0,B5,2,7,3,0,-0.98%,0.98%,0,0,147,12,2,TOR,PIT,LGO,LGO,,1
Gare Doctor,307,894.0,S.A.R. Dinka,395,355.0,LGO,461.0,T6,0,0,3,0,-1.94%,1.94%,0,0,148,12,2,PIT,TOR,LGO,LGO,,1
Jameson Poe,310,868.0,S.A.R. Dinka,395,769.0,1B,99.0,T6,1,0,3,0,2.40%,-2.40%,0,0,148,12,2,PIT,TOR,1B,1B,,1
Johnny Hopkins,2070,855.0,S.A.R. Dinka,395,225.0,DP,370.0,T6,1,1,3,0,-4.22%,4.22%,0,0,148,12,2,PIT,TOR,LGO,LGO,,1
Bix Kayne,3287,585.0,Big Tuna,2091,212.0,LGO,373.0,T1,0,0,0,0,-2.51%,2.51%,0,0,149,13,3,NYM,DET,LGO,LGO,,1
Chocolate Smegma,2107,15.0,Big Tuna,2091,366.0,PO,351.0,T1,1,0,0,0,-2.18%,2.18%,0,0,149,13,3,NYM,DET,PO,PO,,1
Xavier Crowbar,2006,898.0,Big Tuna,2091,999.0,1B,101.0,T1,2,0,0,0,1.98%,-1.98%,0,0,149,13,3,NYM,DET,1B,1B,,1
Master Cashier,93,607.0,Big Tuna,2091,784.0,FO,177.0,T1,2,1,0,0,-3.74%,3.74%,0,0,149,13,3,NYM,DET,FO,FO,,1
BB Bambino Jr.,115,659.0,Hudson Quin,58,854.0,BB,195.0,B1,0,0,0,0,2.76%,-2.76%,0,1,150,13,3,DET,NYM,BB,BB,,1
Casey Nine,101,318.0,Hudson Quin,58,325.0,HR,7.0,B1,0,1,0,0,18.55%,-18.55%,2,1,150,13,3,DET,NYM,HR,HR,,1
King Fielder,222,584.0,Hudson Quin,58,998.0,K,414.0,B1,0,0,2,0,-1.37%,1.37%,0,0,150,13,3,DET,NYM,K,K,,1
Morris Deratt,104,998.0,Hudson Quin,58,204.0,FO,206.0,B1,1,0,2,0,-1.43%,1.43%,0,0,150,13,3,DET,NYM,FO,FO,,1
Merodach Baladan,100,41.0,Hudson Quin,58,555.0,LGO,486.0,B1,2,0,2,0,-1.12%,1.12%,0,0,150,13,3,DET,NYM,LGO,LGO,,1
Hudson Quin,58,875.0,Big Tuna,2091,117.0,FO,242.0,T2,0,0,2,0,-2.72%,2.72%,0,0,151,13,3,NYM,DET,FO,FO,,1
Mongster Mash,344,576.0,Big Tuna,2091,32.0,LGO,456.0,T2,1,0,2,0,-2.27%,2.27%,0,0,151,13,3,NYM,DET,LGO,LGO,,1
Pip Squires,2060,777.0,Big Tuna,2091,808.0,2B,31.0,T2,2,0,2,0,3.30%,-3.30%,0,0,151,13,3,NYM,DET,2B,2B,,1
Art Inova,3286,,Big Tuna,2091,694.0,Auto K,,T2,2,2,2,0,-4.96%,4.96%,0,0,151,13,3,NYM,DET,Auto K,Auto K,,9
Brandon Aconi,2042,417.0,Hudson Quin,58,318.0,1B,99.0,B2,0,0,2,0,1.52%,-1.52%,0,1,152,13,3,DET,NYM,1B,1B,,1
Sevag Vapor,106,733.0,Hudson Quin,58,791.0,1B,58.0,B2,0,1,2,0,2.77%,-2.77%,0,0,152,13,3,DET,NYM,1B,1B,,1
Lightning Balls,350,69.0,Hudson Quin,58,842.0,FO,227.0,B2,0,4,2,0,-2.33%,2.33%,0,0,152,13,3,DET,NYM,FO,FO,,1
Big Tuna,2091,320.0,Hudson Quin,58,669.0,K,349.0,B2,1,4,2,0,-2.22%,2.22%,0,0,152,13,3,DET,NYM,K,K,,1
BB Bambino Jr.,115,893.0,Hudson Quin,58,12.0,1B,119.0,B2,2,4,2,0,7.72%,-7.72%,1,0,152,13,3,DET,NYM,1B,1B,,1
Casey Nine,101,555.0,Hudson Quin,58,314.0,FO,241.0,B2,2,5,3,0,-2.86%,2.86%,0,0,152,13,3,DET,NYM,FO,FO,,1
Trey Paste,2037,482.0,Big Tuna,2091,98.0,LGO,384.0,T3,0,0,3,0,-2.28%,2.28%,0,0,153,13,3,NYM,DET,LGO,LGO,,1
Bix Kayne,3287,12.0,Big Tuna,2091,422.0,LGO,410.0,T3,1,0,3,0,-1.87%,1.87%,0,0,153,13,3,NYM,DET,LGO,LGO,,1
Chocolate Smegma,2107,877.0,Big Tuna,2091,781.0,1B,96.0,T3,2,0,3,0,1.88%,-1.88%,0,1,153,13,3,NYM,DET,1B,1B,,1
Xavier Crowbar,2006,330.0,Big Tuna,2091,328.0,HR,2.0,T3,2,1,3,0,16.13%,-16.13%,2,1,153,13,3,NYM,DET,HR,HR,,1
Master Cashier,93,676.0,Big Tuna,2091,112.0,LGO,436.0,T3,2,0,3,2,-2.26%,2.26%,0,0,153,13,3,NYM,DET,LGO,LGO,,1
King Fielder,222,20.0,Hudson Quin,58,364.0,K,344.0,B3,0,0,3,2,-2.04%,2.04%,0,0,154,13,3,DET,NYM,K,K,,1
