G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
6,9.0,45,15,12,12,3,1,0,2,3,4,7,10,5,3,0,8.0,2.0,10.0,2.0,2.0,1.3333333333333333,0.6666666666666666,0.35714285714285715,0.4,0.7619047619047619,1.1619047619047618,0.32432432432432434,0.06666666666666667,0.044444444444444446,0.06666666666666667,0.68,0.32,2.125,248.1590909090909,4.752064118945545,0.48269999999999996,42,0,0,8,0,17,8,0,0,,EG-B,S7,3,KCR,False,KCR,6.062165058949625,10.666666666666666,163,10.131158216058084,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,-0.3000481840464532
9,22.333333333333332,100,27,16,16,9,2,0,11,6,12,8,9,10,26,0,4.298507462686567,1.6119402985074627,7.253731343283583,1.6119402985074627,2.417910447761194,2.955223880597015,1.2222222222222223,0.2967032967032967,0.36,0.6153846153846154,0.9753846153846154,0.28378378378378377,0.06,0.11,0.09,0.3333333333333333,0.6666666666666666,0.5,249.0392156862745,1.3827091283569715,-0.0929000000000002,91,0,0,7,2,18,36,2,2,0.5,WC-H,S7,5,BAL,False,BAL,4.889694080508497,23.333333333333332,74,10.125288919111101,5.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,0.4,0.25096959349341674
9,33.333333333333336,139,33,22,22,10,0,0,30,8,16,16,9,26,15,0,3.9599999999999995,1.2899999999999998,5.9399999999999995,1.44,1.7999999999999998,5.3999999999999995,3.0,0.25984251968503935,0.30935251798561153,0.5354330708661418,0.8447855888517533,0.27472527472527475,0.05755395683453238,0.2158273381294964,0.07194244604316546,0.4142857142857143,0.5857142857142857,0.7073170731707317,256.28057553956836,-2.1647356448937005,-0.22399999999999995,127,2,0,7,2,29,41,0,0,,BS-H,S7,10,TBR,False,TBR,3.3932761700607355,34.333333333333336,97,19.380599540262978,5.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,0.75,0.7575178682868383
1,2.0,9,4,3,3,0,0,0,0,1,2,2,0,3,0,0,9.0,2.0,12.0,3.0,0.0,0.0,,0.4444444444444444,0.4444444444444444,0.8888888888888888,1.3333333333333333,0.375,0.1111111111111111,0.0,0.0,0.5,0.5,1.0,192.22222222222223,0.9604877981104066,-0.18130000000000002,9,0,0,1,0,3,3,0,0,,EG-H,S7,13,LAA,False,LAA,7.673276170060736,2.0,192,2.238529946308911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06101713424142041
1,2.0,9,3,2,2,0,0,0,0,1,1,0,2,2,2,0,6.0,1.5,9.0,3.0,0.0,0.0,,0.3333333333333333,0.3333333333333333,0.7777777777777778,1.1111111111111112,0.25,0.1111111111111111,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,243.66666666666666,0.7219578518014953,-0.23839999999999997,9,0,0,1,0,2,4,0,0,,TD-B,S7,21,BOS,False,BOS,7.673276170060736,2.0,171,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.037164139610529286
11,23.333333333333332,91,24,12,12,6,0,0,6,4,12,18,19,12,6,0,3.085714285714286,1.2857142857142858,6.171428571428573,1.0285714285714285,1.5428571428571431,1.5428571428571431,1.0,0.2857142857142857,0.32967032967032966,0.5357142857142857,0.8653846153846154,0.26666666666666666,0.04395604395604396,0.06593406593406594,0.06593406593406594,0.71875,0.28125,2.5555555555555554,276.4065934065934,-1.3844068200927582,0.5517000000000002,84,1,0,7,1,46,18,0,0,,TD-S,S7,28,SFG,False,SFG,3.6589904557750215,25.0,70,10.234117605697076,2.0,9.0,1.0,1.0,1.0,3.0,2.0,0.0,0.25,0.49264954276876943
10,30.333333333333332,148,51,20,20,13,0,0,34,6,33,12,10,19,9,0,3.956043956043956,2.10989010989011,10.087912087912088,1.186813186813187,2.5714285714285716,6.725274725274725,2.6153846153846154,0.38636363636363635,0.43243243243243246,0.6287878787878788,1.0612203112203114,0.47368421052631576,0.04054054054054054,0.22972972972972974,0.08783783783783784,0.5087719298245614,0.49122807017543857,1.0357142857142858,228.0952380952381,0.6398265782727828,-0.3938999999999999,132,3,0,10,2,29,28,0,0,,BS-H,S7,37,MIA,False,MIA,2.788660785445351,31.0,124,22.513370932404467,6.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.5,0.5120932915398102
1,3.3333333333333335,17,5,4,4,2,0,0,2,0,0,0,3,3,2,0,7.199999999999999,2.1,9.0,0.0,3.5999999999999996,3.5999999999999996,1.0,0.3333333333333333,0.4117647058823529,0.7333333333333333,1.1450980392156862,0.38461538461538464,0.0,0.11764705882352941,0.11764705882352941,0.375,0.625,0.6,242.05555555555554,1.886449401192913,0.05349999999999999,15,0,0,4,1,3,5,1,0,1.0,TD-H,S7,46,CIN,False,CIN,1.7732761700607358,4.0,43,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.12247405404334195
2,0.3333333333333333,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,18.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,,289.5,0.04590878591694353,-0.000899999999999998,1,0,0,0,0,1,0,0,0,,BB-B,S7,73,COL,False,COL,10.173276170060735,0.6666666666666666,64,0.25060001321541003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003193931534887924
6,35.333333333333336,143,30,18,18,9,0,0,25,12,10,17,20,26,15,0,3.0566037735849054,1.1037735849056602,5.094339622641509,2.0377358490566038,1.5283018867924527,4.245283018867925,2.7777777777777777,0.22900763358778625,0.2727272727272727,0.5801526717557252,0.8528799444829979,0.18556701030927836,0.08391608391608392,0.17482517482517482,0.06293706293706294,0.4810126582278481,0.5189873417721519,0.926829268292683,262.5833333333333,-6.433706357981797,0.2962,131,3,0,6,2,38,41,2,1,0.6666666666666666,FP-S,S7,74,CIN,False,CIN,4.9374271134569625,34.666666666666664,93,18.734435945060135,6.0,4.0,4.0,0.0,3.0,2.0,0.0,0.0,0.6,1.1999845598488126
10,35.333333333333336,157,47,23,23,15,0,0,26,9,27,15,18,29,7,0,3.9056603773584904,1.7547169811320753,7.981132075471697,1.5283018867924527,2.5471698113207544,4.415094339622641,1.7333333333333334,0.3333333333333333,0.39490445859872614,0.624113475177305,1.019017933776031,0.35514018691588783,0.05732484076433121,0.16560509554140126,0.09554140127388536,0.5384615384615384,0.46153846153846156,1.1666666666666667,231.15,0.9495994008558624,-0.9683999999999999,141,1,0,8,3,42,36,3,2,0.6,BF-S,S7,76,COL,False,COL,4.286483717230547,36.333333333333336,98,20.85665903250305,5.0,9.0,4.0,1.0,3.0,4.0,0.0,0.0,0.42857142857142855,0.5161476548511226
7,28.666666666666668,126,33,13,13,15,0,0,25,9,19,14,12,18,9,0,2.7209302325581395,1.6744186046511627,6.906976744186046,1.8837209302325582,3.1395348837209296,5.232558139534884,1.6666666666666667,0.2972972972972973,0.38095238095238093,0.5855855855855856,0.9665379665379665,0.3116883116883117,0.07142857142857142,0.1984126984126984,0.11904761904761904,0.5423728813559322,0.4576271186440678,1.1851851851851851,248.4108527131783,-3.710062327329493,0.20980000000000004,111,0,0,5,0,32,27,1,2,0.3333333333333333,BS-B,S7,92,DET,False,DET,5.080252914246782,28.333333333333332,83,13.767354817688995,5.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.8614492707076327
4,16.666666666666668,83,30,17,17,11,0,0,10,8,13,14,8,7,3,0,6.119999999999999,2.46,10.799999999999999,2.88,3.9599999999999995,3.5999999999999996,0.9090909090909091,0.4166666666666667,0.4939759036144578,0.8888888888888888,1.3828647925033466,0.4074074074074074,0.0963855421686747,0.12048192771084337,0.13253012048192772,0.7222222222222222,0.2777777777777778,2.6,214.48275862068965,6.040213411435399,-0.9542,72,0,0,8,1,26,10,0,4,0.0,EG-S,S7,103,DET,False,DET,8.193276170060734,15.666666666666666,222,20.30347969006032,3.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.28095172089037546
