G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,RE24,WPA,WAR,GB_outs,FB_outs,nPA,nAB,nH,nTB,nBB,nSF,nSH,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,OPS+,Avg Diff,nOBP,nSLG,Season,Team
16,363.0,323.0,80.0,44.0,33.0,25.0,5.0,17.0,166.0,45.0,37.0,3.0,61.0,6.0,1.0,1.0,0.0,3.0,20.0,44.0,32.0,66.0,43.0,0.0,-12.379060000186252,-0.9385000000000001,0.18301849675916138,96.0,112.0,363.0,328.0,79.0,166.0,32.0,3.0,0.0,0.2476780185758514,0.32231404958677684,0.5139318885448917,0.8362459381316685,0.2662538699690403,0.2540322580645161,0.5,0.046831955922865015,0.16804407713498623,0.10192837465564739,0.46153846153846156,0.5384615384615384,0.8571428571428571,81.0,250.95103706181294,0.30578512396694213,0.5060975609756098,S7,ARI
16,358.0,324.0,71.0,38.0,39.0,12.0,1.0,19.0,142.0,39.0,32.0,0.0,67.0,3.0,7.0,8.0,0.0,2.0,10.0,46.0,46.0,53.0,43.0,0.0,-19.657102148384755,-0.9127,-0.5643576808262234,102.0,98.0,358.0,320.0,69.0,140.0,36.0,2.0,0.0,0.2191358024691358,0.2877094972067039,0.4382716049382716,0.7259811021449756,0.2191358024691358,0.21666666666666667,0.4666666666666667,0.05307262569832402,0.1871508379888268,0.0893854748603352,0.51,0.49,1.0408163265306123,65.0,263.1536654876428,0.29329608938547486,0.4375,S7,ATL
16,384.0,345.0,78.0,40.0,31.0,29.0,4.0,14.0,157.0,42.0,36.0,1.0,76.0,0.0,15.0,10.0,0.0,3.0,6.0,37.0,49.0,62.0,46.0,0.0,-20.86642967366398,-1.9887999999999997,-0.5835162269733679,92.0,111.0,384.0,342.0,75.0,147.0,39.0,3.0,0.0,0.22608695652173913,0.296875,0.45507246376811594,0.7519474637681159,0.2289855072463768,0.24806201550387597,0.6,0.036458333333333336,0.19791666666666666,0.09375,0.45320197044334976,0.5467980295566502,0.8288288288288288,65.0,257.9572127139364,0.296875,0.4298245614035088,S7,BAL
16,417.0,376.0,110.0,60.0,49.0,26.0,11.0,24.0,230.0,63.0,36.0,3.0,77.0,2.0,1.0,2.0,1.0,4.0,18.0,40.0,45.0,66.0,42.0,0.0,-3.171062787351048,0.35969999999999985,1.3151954159104515,103.0,112.0,417.0,376.0,109.0,227.0,35.0,5.0,1.0,0.2925531914893617,0.35096153846153844,0.6117021276595744,0.9626636661211129,0.3191489361702127,0.30824372759856633,0.3333333333333333,0.05755395683453238,0.18465227817745802,0.08633093525179857,0.4790697674418605,0.5209302325581395,0.9196428571428571,111.0,245.8363532810833,0.34615384615384615,0.6037234042553191,S7,BOS
16,407.0,357.0,104.0,79.0,46.0,20.0,4.0,34.0,234.0,82.0,47.0,0.0,79.0,0.0,3.0,3.0,2.0,1.0,6.0,32.0,39.0,74.0,30.0,0.0,23.981918925714492,2.3029,3.9913496616859376,77.0,105.0,407.0,355.0,104.0,230.0,49.0,1.0,2.0,0.2913165266106443,0.3728395061728395,0.6554621848739496,1.028301691046789,0.3641456582633053,0.2857142857142857,0.5,0.08353808353808354,0.1941031941031941,0.11547911547911548,0.4230769230769231,0.5769230769230769,0.7333333333333333,128.0,235.83855604760487,0.37777777777777777,0.647887323943662,S7,CHC
16,391.0,359.0,93.0,56.0,47.0,23.0,4.0,19.0,181.0,59.0,30.0,1.0,68.0,0.0,3.0,0.0,0.0,2.0,21.0,40.0,47.0,61.0,52.0,0.0,-6.974598116078997,-0.2551999999999996,0.8330676766568785,108.0,115.0,391.0,360.0,92.0,179.0,29.0,2.0,0.0,0.2590529247910863,0.3145780051150895,0.5041782729805014,0.8187562780955909,0.24512534818941512,0.27007299270072993,1.0,0.04859335038363171,0.17391304347826086,0.07672634271099744,0.484304932735426,0.515695067264574,0.9391304347826087,81.0,256.24291929969957,0.309462915601023,0.49722222222222223,S7,CIN
16,386.0,348.0,95.0,44.0,42.0,28.0,9.0,16.0,189.0,46.0,33.0,1.0,58.0,0.0,1.0,4.0,0.0,5.0,19.0,33.0,52.0,72.0,43.0,0.0,-15.406145008976381,0.14350000000000035,-0.029658975398394072,104.0,120.0,386.0,349.0,94.0,187.0,32.0,5.0,0.0,0.27298850574712646,0.3316062176165803,0.5431034482758621,0.8747096658924425,0.27011494252873564,0.2831541218637993,0.2,0.04145077720207254,0.15025906735751296,0.08549222797927461,0.4642857142857143,0.5357142857142857,0.8666666666666667,93.0,256.1227050468683,0.32642487046632124,0.5358166189111748,S7,CLE
16,403.0,361.0,95.0,62.0,38.0,24.0,5.0,28.0,213.0,63.0,38.0,2.0,68.0,1.0,1.0,2.0,0.0,4.0,16.0,38.0,49.0,78.0,37.0,0.0,-1.372614079016781,0.35460000000000014,1.4402387910003822,103.0,119.0,403.0,359.0,94.0,208.0,40.0,4.0,0.0,0.2631578947368421,0.33002481389578164,0.590027700831025,0.9200525147268066,0.32686980609418287,0.24907063197026022,0.3333333333333333,0.06947890818858561,0.1687344913151365,0.09429280397022333,0.46396396396396394,0.536036036036036,0.865546218487395,103.0,250.01250047733612,0.3325062034739454,0.5793871866295265,S7,COL
16,397.0,349.0,100.0,50.0,49.0,28.0,8.0,15.0,189.0,52.0,41.0,4.0,75.0,7.0,0.0,2.0,2.0,5.0,23.0,33.0,44.0,69.0,33.0,0.0,-11.602609680248438,-0.6265000000000004,0.3937528755585757,100.0,107.0,397.0,347.0,95.0,184.0,43.0,5.0,2.0,0.28653295128939826,0.3569620253164557,0.5415472779369628,0.8985093032534185,0.2550143266475645,0.32196969696969696,0.0,0.037783375314861464,0.1889168765743073,0.10327455919395466,0.4830917874396135,0.5169082125603864,0.9345794392523364,99.0,247.5628701313978,0.3493670886075949,0.5302593659942363,S7,CWS
16,415.0,377.0,107.0,65.0,43.0,29.0,8.0,27.0,233.0,69.0,31.0,3.0,54.0,0.0,5.0,2.0,0.0,7.0,12.0,56.0,60.0,65.0,42.0,0.0,1.2022849492553025,0.13169999999999993,1.744701404464873,128.0,114.0,415.0,376.0,106.0,237.0,32.0,7.0,0.0,0.2838196286472148,0.3325301204819277,0.6180371352785146,0.9505672557604423,0.33421750663129973,0.264026402640264,0.7142857142857143,0.06506024096385542,0.13012048192771083,0.0746987951807229,0.5289256198347108,0.47107438016528924,1.1228070175438596,112.0,256.6325717397119,0.3325301204819277,0.6303191489361702,S7,DET
