G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,,,,104.0,1.0,1.0,0.15630904183535765,0.0499,0,0,BC,S1,-7,ATL,True,ATL,0.019218404183535764
2,4,4,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0.25,0.25,0.5,0.75,0.25,0.3333333333333333,,0.0,0.25,0.0,1.0,0.0,,349.0,0.25,0.5,-0.6210041499396821,-0.109,3,0,BP,S1,-6,MIN,False,MIN,-0.04775041499396822
1,3,3,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,,0.0,0.0,0.0,1.0,0.0,,301.6666666666667,0.3333333333333333,0.6666666666666666,-0.08603175518467854,-0.021699999999999994,3,0,BN,S1,-5,TOR,False,TOR,0.002159324481532146
3,6,5,1,1,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0.2,0.3333333333333333,0.2,0.5333333333333333,0.0,0.5,,0.0,0.5,0.16666666666666666,0.0,1.0,0.0,256.1666666666667,0.3333333333333333,0.2,-0.9701086672303711,-0.043199999999999975,0,1,BN,S1,-1,ATL,False,ATL,-0.07548586672303711
1,2,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.0,1.0,,0.0,0.5,0.0,,,,181.0,0.5,0.5,0.5936335403726708,0.0907,0,0,BC,S1,3,ARI,False,ARI,0.06653835403726707
5,11,10,2,2,0,2,0,0,4,0,1,0,4,0,0,0,0,0,0,0,1,3,0,0,0.2,0.2727272727272727,0.4,0.6727272727272727,0.2,0.3333333333333333,,0.0,0.36363636363636365,0.09090909090909091,0.25,0.75,0.3333333333333333,240.54545454545453,0.2727272727272727,0.4,0.18337818608428058,-0.11069999999999999,1,3,,S1,4,MIN,False,MIN,0.05780031860842805
7,19,17,3,3,2,1,0,0,4,0,2,0,6,0,0,0,0,0,0,0,6,2,0,0,0.17647058823529413,0.2631578947368421,0.23529411764705882,0.4984520123839009,0.05882352941176469,0.2727272727272727,,0.0,0.3157894736842105,0.10526315789473684,0.75,0.25,3.0,294.5263157894737,0.2631578947368421,0.23529411764705882,-2.035428331713537,-0.2491,6,2,BP,S1,5,ATL,False,ATL,-0.13538033317135373
7,19,16,6,7,0,5,0,1,14,4,3,0,3,1,0,0,0,0,2,0,5,2,0,0,0.375,0.47368421052631576,0.875,1.3486842105263157,0.5,0.4166666666666667,,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.7777777777777778,0.2222222222222222,3.5,226.16666666666666,0.47368421052631576,0.875,1.4827060744129663,-0.2635,7,2,BN,S1,8,ARI,False,ARI,0.21643310744129662
1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,0.0,1.0,0.0,158.0,0.5,0.0,-0.044942484416168604,0.0181,0,1,BP,S1,14,ARI,False,ARI,0.002680751558383139
7,20,18,7,5,2,2,0,3,18,7,2,0,3,0,0,0,0,0,1,0,3,5,0,0,0.3888888888888889,0.45,1.0,1.45,0.6111111111111112,0.3333333333333333,,0.15,0.15,0.1,0.4444444444444444,0.5555555555555556,0.8,200.3,0.45,1.0,5.915478781981812,0.3642000000000001,4,5,BP,S1,15,ARI,False,ARI,0.6632978781981812
