G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
7,21.333333333333332,93,29,18,18,4,0,0,7,4,11,24,9,14,6,0,5.0625,1.546875,8.15625,1.125,1.125,1.96875,1.75,0.3333333333333333,0.3548387096774194,0.6551724137931034,1.0100111234705227,0.32051282051282054,0.043010752688172046,0.07526881720430108,0.043010752688172046,0.6491228070175439,0.3508771929824561,1.85,236.2688172043011,3.469305303993019,-0.4788000000000001,87,2,0,12,2,37,20,0,0,,EG-H,S9,1,TBR,False,TBR,3.7200493762993765,22.333333333333332,148,14.676433929736278,4.0,2.0,1.0,0.0,2.0,5.0,0.0,0.0,0.2857142857142857,-0.004240296726443926
8,13.333333333333334,55,14,7,7,4,0,0,7,5,6,8,7,8,5,1,3.15,1.3499999999999999,6.300000000000001,2.25,1.7999999999999998,3.1500000000000004,1.75,0.27450980392156865,0.32727272727272727,0.6274509803921569,0.9547237076648841,0.23076923076923078,0.09090909090909091,0.12727272727272726,0.07272727272727272,0.5666666666666667,0.43333333333333335,1.3076923076923077,248.30357142857142,-1.7419773385413115,-0.038199999999999956,51,0,0,3,0,17,13,0,1,0.0,EG-B,S9,3,KCR,False,KCR,6.101299376299377,13.666666666666666,119,7.228694401413359,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.3768640010800149
9,18.333333333333332,82,22,15,15,8,0,0,7,5,10,5,10,14,16,0,4.909090909090909,1.6363636363636365,7.200000000000001,1.6363636363636367,2.618181818181818,2.290909090909091,0.875,0.3013698630136986,0.36585365853658536,0.6301369863013698,0.9959906448379552,0.27419354838709675,0.06097560975609756,0.08536585365853659,0.0975609756097561,0.3617021276595745,0.6382978723404256,0.5666666666666667,239.16470588235293,3.598377682970307,-0.5534999999999999,73,1,0,5,2,17,30,2,1,0.6666666666666666,WC-H,S9,5,TEX,False,TEX,5.467208467208467,20.0,111,9.92004405658148,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.05768078806934947
7,30.333333333333332,129,28,17,17,14,0,0,32,4,15,11,13,27,4,0,3.3626373626373627,1.3846153846153846,5.538461538461538,0.7912087912087913,2.769230769230769,6.32967032967033,2.2857142857142856,0.2545454545454545,0.32558139534883723,0.4727272727272727,0.79830866807611,0.3037974683544304,0.031007751937984496,0.24806201550387597,0.10852713178294573,0.46551724137931033,0.5344827586206896,0.8709677419354839,255.41538461538462,-4.175936590988244,-0.5136999999999999,110,5,0,6,3,27,31,2,1,0.6666666666666666,BS-H,S9,37,MIA,False,MIA,2.3653103653103655,30.666666666666668,78,10.636056488437177,5.0,5.0,3.0,1.0,2.0,3.0,0.0,0.0,0.4,0.8929381767740789
7,21.333333333333332,98,28,19,19,8,0,0,20,3,16,9,6,20,7,0,5.34375,1.6875,7.875,0.84375,2.25,5.625,2.5,0.3218390804597701,0.3673469387755102,0.5632183908045977,0.930565329580108,0.373134328358209,0.030612244897959183,0.20408163265306123,0.08163265306122448,0.38636363636363635,0.6136363636363636,0.6296296296296297,231.5252525252525,4.751879129029374,-1.2672,87,3,0,6,3,17,27,2,0,1.0,NH-H,S9,39,MIA,False,MIA,2.4544243762993765,22.0,73,7.162569427385539,5.0,3.0,2.0,1.0,1.0,5.0,0.0,0.0,0.16666666666666666,-0.11407347311863539
3,4.333333333333333,17,2,3,3,3,0,0,2,0,2,3,0,2,5,0,4.153846153846154,1.153846153846154,2.769230769230769,0.0,4.153846153846154,2.769230769230769,0.6666666666666666,0.14285714285714285,0.29411764705882354,0.14285714285714285,0.4369747899159664,0.16666666666666666,0.0,0.11764705882352941,0.17647058823529413,0.36363636363636365,0.6363636363636364,0.5714285714285714,265.11764705882354,-1.6586328684896146,-0.030099999999999988,14,0,0,0,0,4,7,0,0,,WC-S,S9,45,ATL,False,ATL,2.5301455301455302,5.666666666666667,9,0.2286944014133594,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.228505587627871
9,25.333333333333332,114,37,17,17,7,1,0,11,5,25,8,9,13,29,0,4.026315789473684,1.736842105263158,8.763157894736842,1.1842105263157894,1.6578947368421053,2.605263157894737,1.5714285714285714,0.34579439252336447,0.38596491228070173,0.5700934579439252,0.9560583702246269,0.3516483516483517,0.043859649122807015,0.09649122807017543,0.06140350877192982,0.3114754098360656,0.6885245901639344,0.4523809523809524,240.88135593220338,-1.1643836968051695,-0.6166999999999999,107,0,0,5,2,19,42,1,4,0.2,SF-H,S9,63,CHC,False,CHC,3.902615165773061,25.333333333333332,138,15.58776407317999,5.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,0.4,0.5365102690214396
1,0.3333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,,321.0,-0.1996943453897096,0.0016,1,0,0,0,0,0,0,0,0,,BB-B,S9,73,COL,False,COL,-4.623700623700623,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023654275761259756
4,23.0,93,19,8,8,8,0,0,19,3,9,8,11,23,5,0,2.0869565217391304,1.173913043478261,4.956521739130435,0.7826086956521738,2.0869565217391304,4.956521739130435,2.375,0.2261904761904762,0.2903225806451613,0.4523809523809524,0.7427035330261137,0.25396825396825395,0.03225806451612903,0.20430107526881722,0.08602150537634409,0.42857142857142855,0.5714285714285714,0.75,257.531914893617,-7.608723540731241,0.6785,84,1,0,4,3,21,28,0,1,0.0,FP-S,S9,74,CIN,False,CIN,2.463255898038507,23.0,39,4.0,4.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.75,1.103562587745982
9,37.0,158,45,16,16,7,0,0,27,5,32,24,17,23,15,0,2.5945945945945947,1.4054054054054055,7.297297297297297,0.8108108108108109,1.135135135135135,4.378378378378378,3.857142857142857,0.2980132450331126,0.3291139240506329,0.47019867549668876,0.7993125995473216,0.33613445378151263,0.03164556962025317,0.17088607594936708,0.04430379746835443,0.5476190476190477,0.4523809523809524,1.2105263157894737,254.0125,-8.31129766841307,0.10499999999999998,151,0,0,5,3,46,38,2,0,1.0,BF-S,S9,76,COL,False,COL,2.2411642411642414,37.0,84,13.884942363890987,6.0,6.0,3.0,1.0,5.0,1.0,0.0,0.0,0.8333333333333334,1.413334679962937
