G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
6,11.666666666666666,58,19,11,11,8,0,0,6,1,8,12,4,8,1,0,5.6571428571428575,2.3142857142857145,9.771428571428572,0.5142857142857142,4.114285714285714,3.0857142857142863,0.75,0.38,0.46551724137931033,0.7,1.1655172413793102,0.4186046511627907,0.017241379310344827,0.10344827586206896,0.13793103448275862,0.6896551724137931,0.3103448275862069,2.2222222222222223,215.93103448275863,7.00537259484241,-0.2649,50,0,0,7,3,20,9,0,0,,EG-B,S10,3,KCR,False,KCR,3.383294930875576,14.0,70,4.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,-0.4717183997296104
6,13.333333333333334,56,17,7,7,1,0,0,9,0,11,4,4,6,15,0,3.15,1.3499999999999999,7.6499999999999995,0.0,0.44999999999999996,4.05,9.0,0.3090909090909091,0.32142857142857145,0.43636363636363634,0.7577922077922078,0.3695652173913043,0.0,0.16071428571428573,0.017857142857142856,0.3225806451612903,0.6774193548387096,0.47619047619047616,250.03508771929825,-1.6764310550916544,-0.2405,55,0,0,5,1,10,21,1,0,1.0,WC-H,S10,5,TEX,False,TEX,0.11543778801843319,15.333333333333334,103,6.473018283841782,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.3885716597550158
7,38.666666666666664,160,34,15,15,18,0,0,31,5,23,18,15,31,13,0,2.327586206896552,1.3448275862068966,5.275862068965518,0.7758620689655173,2.793103448275862,4.810344827586207,1.7222222222222223,0.23943661971830985,0.325,0.39436619718309857,0.7193661971830986,0.27358490566037735,0.03125,0.19375,0.1125,0.4823529411764706,0.5176470588235295,0.9318181818181818,256.4573170731707,-11.094772922022276,1.351,142,0,0,5,1,41,44,4,0,1.0,BS-H,S10,37,MIA,False,MIA,2.714575719052916,39.333333333333336,64,10.33329321448698,6.0,5.0,4.0,0.0,4.0,1.0,0.0,0.0,0.8,1.740701732904657
7,34.333333333333336,131,25,7,7,9,0,0,28,2,18,11,20,27,10,1,1.2233009708737863,0.9902912621359222,4.36893203883495,0.3495145631067961,1.5728155339805825,4.893203883495145,3.111111111111111,0.20833333333333334,0.2595419847328244,0.3,0.5595419847328245,0.25,0.015267175572519083,0.21374045801526717,0.06870229007633588,0.4931506849315068,0.5068493150684932,0.972972972972973,273.76296296296294,-14.58389031705227,1.1368,120,2,0,5,0,36,37,3,1,0.75,NH-H,S10,39,MIA,False,MIA,1.1530591472417342,35.0,43,6.161418844959245,5.0,7.0,5.0,3.0,5.0,1.0,0.0,0.0,0.8333333333333334,1.9752040425303412
2,0.3333333333333333,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,3.0,18.0,0.0,0.0,18.0,,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,,,,190.5,-0.09072195779545567,-0.0644,2,0,0,0,0,0,0,0,0,,BB-B,S10,73,COL,False,COL,-4.759562211981567,1.0,115,0.47301828384178163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016962501288325937
4,22.666666666666668,88,17,12,12,7,0,0,11,4,4,9,12,27,5,0,3.176470588235294,1.0588235294117647,4.5,1.0588235294117645,1.8529411764705879,2.911764705882353,1.5714285714285714,0.2125,0.2727272727272727,0.525,0.7977272727272727,0.19696969696969696,0.045454545454545456,0.125,0.07954545454545454,0.41818181818181815,0.5818181818181818,0.71875,254.06593406593407,-2.352827763496144,-0.0036999999999999256,80,1,0,5,4,23,32,2,2,0.5,FP-S,S10,74,SDP,False,SDP,3.490437788018433,22.333333333333332,103,9.474456051962164,4.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.5,0.5824562187359507
7,42.0,189,55,30,30,17,1,0,27,9,26,20,27,30,13,0,4.285714285714286,1.7142857142857142,7.857142857142858,1.2857142857142856,2.428571428571429,3.8571428571428577,1.588235294117647,0.3235294117647059,0.38095238095238093,0.6235294117647059,1.0044817927170868,0.3382352941176471,0.047619047619047616,0.14285714285714285,0.08994708994708994,0.5425531914893617,0.4574468085106383,1.186046511627907,247.45,1.254838161112235,-1.9691999999999998,170,2,0,16,4,51,43,7,5,0.5833333333333334,BF-S,S10,76,COL,False,COL,3.9547235023041476,43.0,124,21.83800091526481,5.0,7.0,5.0,0.0,1.0,6.0,0.0,0.0,0.14285714285714285,0.6201500544685214
8,20.333333333333332,96,29,22,22,7,0,0,11,8,10,5,5,11,28,0,6.491803278688525,1.7704918032786887,8.557377049180328,2.3606557377049184,2.0655737704918034,3.245901639344263,1.5714285714285714,0.3258426966292135,0.375,0.7415730337078652,1.1165730337078652,0.3,0.08333333333333333,0.11458333333333333,0.07291666666666667,0.20408163265306123,0.7959183673469388,0.2564102564102564,232.63917525773195,9.122110636141219,-1.7648,89,0,0,9,2,10,39,0,1,0.0,WC-B,S10,100,DET,False,DET,6.306011558510237,22.0,169,15.237228025981082,4.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,0.2,-0.5334763991926642
11,35.0,136,26,9,9,13,0,0,9,2,16,36,17,23,11,1,1.542857142857143,1.1142857142857143,4.457142857142857,0.34285714285714286,2.2285714285714286,1.5428571428571427,0.6923076923076923,0.21138211382113822,0.2867647058823529,0.3333333333333333,0.6200980392156863,0.21428571428571427,0.014705882352941176,0.0661764705882353,0.09558823529411764,0.6421052631578947,0.35789473684210527,1.7941176470588236,261.72661870503595,-14.308669355477644,1.6153,123,0,0,7,1,61,34,3,0,1.0,EG-S,S10,103,BAL,False,BAL,2.583294930875576,36.0,54,8.0,5.0,8.0,3.0,2.0,5.0,1.0,1.0,0.0,0.8333333333333334,1.9674077101448293
5,21.333333333333332,96,26,16,16,8,0,0,35,6,12,4,3,13,6,1,4.5,1.59375,7.3125,1.6875,2.25,9.84375,4.375,0.2988505747126437,0.3541666666666667,0.6091954022988506,0.9633620689655173,0.425531914893617,0.0625,0.3645833333333333,0.08333333333333333,0.2962962962962963,0.7037037037037037,0.42105263157894735,233.0,2.934830400264995,-0.8482999999999999,87,1,0,7,1,8,19,3,1,0.75,TT-H,S10,112,HOU,False,HOU,2.740437788018433,22.0,138,12.465642376064118,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.08525162439495819
4,12.0,52,14,9,9,4,0,0,5,3,7,5,11,8,5,0,4.5,1.5,7.0,1.5,2.0,2.5,1.25,0.2916666666666667,0.34615384615384615,0.5625,0.9086538461538461,0.275,0.057692307692307696,0.09615384615384616,0.07692307692307693,0.5806451612903226,0.41935483870967744,1.3846153846153846,264.54716981132077,1.9262612517637998,-0.4142000000000001,48,0,0,4,0,18,13,1,0,1.0,BF-H,S10,114,TEX,False,TEX,4.6571044546851,12.666666666666666,122,6.328547297297298,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.012521818051909639
2,1.0,8,5,6,6,1,0,0,1,0,2,0,0,1,0,0,36.0,6.0,30.0,0.0,6.0,6.0,1.0,0.8333333333333334,0.75,1.5,2.25,0.8333333333333334,0.0,0.125,0.125,0.0,1.0,0.0,174.45454545454547,3.998334560444589,-0.22190000000000001,6,1,0,2,1,0,1,2,1,0.6666666666666666,EG-H,S10,117,HOU,False,HOU,2.240437788018433,1.0,487,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3682722340093374
9,27.666666666666668,108,20,13,13,8,0,0,16,7,4,13,15,22,14,0,2.819277108433735,1.0120481927710843,4.337349397590361,1.5180722891566263,1.7349397590361444,3.469879518072289,2.0,0.20202020202020202,0.25925925925925924,0.5353535353535354,0.7946127946127945,0.16883116883116883,0.06481481481481481,0.14814814814814814,0.07407407407407407,0.4626865671641791,0.5373134328358209,0.8611111111111112,259.7962962962963,-5.285662083999165,0.6568000000000002,99,1,0,6,3,31,36,0,0,,EN-S,S10,127,PHI,False,PHI,4.240437788018433,29.333333333333332,66,8.0,4.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,0.8,0.9546427058740565
5,22.666666666666668,97,28,21,21,9,0,0,13,8,13,12,13,18,4,0,5.5588235294117645,1.6323529411764706,7.4117647058823515,2.117647058823529,2.3823529411764706,3.441176470588235,1.4444444444444444,0.3181818181818182,0.38144329896907214,0.6931818181818182,1.0746251171508905,0.29850746268656714,0.08247422680412371,0.13402061855670103,0.09278350515463918,0.56,0.44,1.2727272727272727,245.8640776699029,5.592360679959565,-0.6462999999999998,88,0,0,5,2,28,22,1,5,0.16666666666666666,TD-H,S10,130,KCR,False,KCR,5.872790729194904,23.333333333333332,109,10.473018283841782,5.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.5,-0.17655625082010862
3,15.333333333333334,58,9,5,5,4,0,0,12,2,6,4,4,16,9,0,1.9565217391304348,0.8478260869565217,3.5217391304347823,0.7826086956521738,1.5652173913043477,4.695652173913043,3.0,0.16666666666666666,0.22413793103448276,0.2962962962962963,0.520434227330779,0.175,0.034482758620689655,0.20689655172413793,0.06896551724137931,0.2647058823529412,0.7352941176470589,0.36,262.73770491803276,-5.003806604706346,0.4967999999999999,54,0,0,1,0,9,25,3,0,1.0,FP-H,S10,131,CHC,False,CHC,2.153481266279303,16.0,46,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.7291995202252654
7,33.333333333333336,130,20,12,12,15,0,0,21,7,10,15,11,30,18,0,2.1599999999999997,1.0499999999999998,3.5999999999999996,1.26,2.6999999999999997,3.7800000000000002,1.4,0.17391304347826086,0.2692307692307692,0.391304347826087,0.6605351170568562,0.14942528735632185,0.05384615384615385,0.16153846153846155,0.11538461538461539,0.3684210526315789,0.631578947368421,0.5833333333333334,266.75555555555553,-9.37086312913755,0.37660000000000005,115,0,0,2,1,28,48,2,3,0.4,FP-S,S10,149,PHI,False,PHI,4.060437788018433,33.666666666666664,68,9.474456051962164,6.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,0.6,1.449956170984479
8,31.333333333333332,118,22,9,9,7,0,0,9,3,12,20,12,34,14,0,1.723404255319149,0.9255319148936171,4.212765957446809,0.574468085106383,1.3404255319148937,1.723404255319149,1.2857142857142858,0.2,0.2457627118644068,0.35454545454545455,0.6003081664098613,0.1919191919191919,0.025423728813559324,0.07627118644067797,0.059322033898305086,0.43529411764705883,0.5647058823529412,0.7708333333333334,269.7731092436975,-10.264693331447381,1.4285,110,1,0,6,1,37,48,1,0,1.0,FP-S,S10,166,SFG,False,SFG,2.580863319933327,33.0,63,8.51011035174619,5.0,5.0,2.0,2.0,4.0,1.0,1.0,0.0,0.8,1.49199735816278
