G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
9,22,17,4,5,1,0,1,2,12,4,5,0,4,0,0,0,0,0,0,1,2,3,3,0,0.23529411764705882,0.4090909090909091,0.7058823529411765,1.1149732620320856,0.4705882352941177,0.18181818181818182,,0.09090909090909091,0.18181818181818182,0.22727272727272727,0.3333333333333333,0.6666666666666666,0.5,236.8181818181818,0.18181818181818182,0.5909090909090909,3.261492817273415,0.2531,3,6,TT,22.0,22.0,4.0,13.0,0.0,0.0,0.0,S11,1,STL,False,STL,0.4121359356834902
3,9,9,3,1,3,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5,,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,203.0,0.3333333333333333,0.3333333333333333,0.7370456905230924,0.032000000000000015,0,3,BC,9.0,9.0,3.0,3.0,0.0,0.0,0.0,S11,10,TBR,False,TBR,0.10888092748891554
10,29,21,5,6,3,0,0,2,11,5,8,0,9,0,1,0,0,0,0,1,1,3,2,0,0.23809523809523808,0.4482758620689655,0.5238095238095238,0.9720853858784894,0.28571428571428575,0.3,1.0,0.06896551724137931,0.3103448275862069,0.27586206896551724,0.2857142857142857,0.7142857142857143,0.4,218.76666666666668,0.1724137931034483,0.3103448275862069,2.3216883853176675,-0.2128,2,5,TT,29.0,29.0,5.0,9.0,0.0,0.0,0.0,S11,14,ARI,False,ARI,0.34551488238305367
13,35,24,6,9,0,4,0,2,16,4,10,1,5,0,2,0,0,1,0,2,3,6,3,0,0.25,0.45714285714285713,0.6666666666666666,1.1238095238095238,0.41666666666666663,0.2222222222222222,1.0,0.05714285714285714,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.5,222.75,0.2,0.5,1.237974403401223,0.15089999999999998,5,10,WC,35.0,34.0,6.0,17.0,1.0,0.0,0.0,S11,20,PHI,False,PHI,0.26059438981581345
15,42,38,12,5,4,5,0,3,26,6,4,0,6,0,3,2,0,0,1,3,4,5,8,0,0.3157894736842105,0.38095238095238093,0.6842105263157895,1.0651629072681703,0.368421052631579,0.3103448275862069,0.6,0.07142857142857142,0.14285714285714285,0.09523809523809523,0.38095238095238093,0.6190476190476191,0.6153846153846154,235.27659574468086,0.2857142857142857,0.6666666666666666,-0.47567526473858573,0.22359999999999994,8,13,EN,42.0,42.0,12.0,28.0,0.0,0.0,0.0,S11,32,BAL,False,BAL,0.11658881289697076
16,50,41,17,13,6,3,3,5,41,15,8,0,3,0,1,0,0,1,2,3,5,7,7,0,0.4146341463414634,0.5,1.0,1.5,0.5853658536585367,0.35294117647058826,1.0,0.1,0.06,0.16,0.4,0.6,0.6666666666666666,212.11764705882354,0.34,0.84,11.40143045444641,1.5335,10,15,WC,50.0,50.0,17.0,42.0,0.0,0.0,0.0,S11,34,BOS,False,BOS,1.3355672589813428
13,37,36,11,5,6,5,0,0,16,2,1,0,8,0,1,0,0,0,1,2,4,8,3,0,0.3055555555555556,0.32432432432432434,0.4444444444444444,0.7687687687687688,0.13888888888888884,0.39285714285714285,1.0,0.0,0.21621621621621623,0.02702702702702703,0.3888888888888889,0.6111111111111112,0.6363636363636364,242.94736842105263,0.2702702702702703,0.40540540540540543,-3.5111021868311623,-0.039999999999999966,7,11,BC,37.0,37.0,10.0,15.0,0.0,0.0,0.0,S11,48,SFG,False,SFG,-0.20649630066595703
5,12,12,4,3,1,1,1,1,10,1,0,0,3,0,0,0,0,0,0,1,1,0,3,0,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.1666666666666667,0.5,0.375,,0.08333333333333333,0.25,0.0,0.4,0.6,0.6666666666666666,241.58333333333334,0.3333333333333333,0.75,1.008296798255766,0.050500000000000045,2,3,XB,12.0,12.0,4.0,9.0,0.0,0.0,0.0,S11,54,SDP,False,SDP,0.147731491074385
5,9,9,3,1,2,1,0,0,4,1,0,0,1,0,0,0,0,0,1,1,1,2,1,0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.7777777777777777,0.1111111111111111,0.375,,0.0,0.1111111111111111,0.0,0.5,0.5,1.0,257.55555555555554,0.3333333333333333,0.4444444444444444,-1.215682019762155,-0.2114,3,3,BN,9.0,9.0,3.0,4.0,0.0,0.0,0.0,S11,55,CIN,False,CIN,-0.0863918435396092
8,25,21,4,7,2,2,0,0,6,4,4,0,5,1,0,0,0,0,0,3,2,7,0,0,0.19047619047619047,0.32,0.2857142857142857,0.6057142857142856,0.09523809523809523,0.25,,0.0,0.2,0.16,0.4166666666666667,0.5833333333333334,0.7142857142857143,234.45833333333334,0.16,0.24,0.23031620663110752,-0.21769999999999998,5,7,P,25.0,25.0,4.0,6.0,0.0,0.0,0.0,S11,59,SDP,False,SDP,0.12074372743146156
