G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
1,3.0,12,3,1,1,0,0,0,2,0,0,2,0,4,1,0,2.0,1.0,6.0,0.0,0.0,4.0,,0.25,0.25,0.5,0.75,0.3,0.0,0.16666666666666666,0.0,0.2857142857142857,0.7142857142857143,0.4,218.66666666666666,-1.0582203109493884,0.09919999999999998,12,0,0,3,0,2,5,0,0,,EG-H,S8,1,TBR,False,TBR,-0.05378229860867534,3.0,75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15188225889958856
9,13.666666666666666,51,8,3,3,6,0,0,11,1,5,10,4,9,3,0,1.3170731707317074,1.024390243902439,3.51219512195122,0.4390243902439025,2.6341463414634148,4.829268292682928,1.8333333333333333,0.17777777777777778,0.27450980392156865,0.28888888888888886,0.5633986928104575,0.21212121212121213,0.0196078431372549,0.21568627450980393,0.11764705882352941,0.6,0.4,1.5,254.94117647058823,-5.765523759358514,0.26929999999999993,45,0,0,2,0,18,12,0,0,,EG-B,S8,3,KCR,False,KCR,1.9380876200905117,15.0,59,3.9199871690774764,0.0,9.0,0.0,0.0,2.0,1.0,1.0,0.0,0.6666666666666666,0.7723083441056127
11,22.666666666666668,106,37,20,20,7,0,0,7,8,20,7,9,9,30,0,5.294117647058823,1.9411764705882353,9.794117647058822,2.117647058823529,1.8529411764705879,1.8529411764705879,1.0,0.37373737373737376,0.41509433962264153,0.7272727272727273,1.142367066895369,0.34523809523809523,0.07547169811320754,0.0660377358490566,0.0660377358490566,0.3389830508474576,0.6610169491525424,0.5128205128205128,233.54954954954954,5.168755320230067,-0.6762999999999999,99,0,0,7,2,20,39,4,1,0.8,WC-H,S8,5,2TM,False,TEX,6.17660985825407,26.333333333333332,136,15.805068698515196,3.0,6.0,0.0,0.0,1.0,3.0,2.0,0.0,0.25,-0.11001018641526761
7,17.0,78,28,14,14,5,0,0,4,8,14,5,6,5,25,0,4.9411764705882355,1.9411764705882353,9.882352941176471,2.8235294117647056,1.7647058823529411,1.4117647058823528,0.8,0.3835616438356164,0.4230769230769231,0.8082191780821918,1.2312961011591148,0.32786885245901637,0.10256410256410256,0.05128205128205128,0.0641025641025641,0.3333333333333333,0.6666666666666666,0.5,234.59756097560975,2.8530133350735696,-0.8441999999999998,73,0,0,5,1,15,30,3,1,0.75,WC-H,S8,5,BAL,True,BAL,7.808962799430541,18.666666666666668,140,11.514531486032428,3.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.25,0.014090147222866145
4,5.666666666666667,28,9,6,6,2,0,0,3,0,6,2,3,4,5,0,6.352941176470588,1.9411764705882353,9.529411764705882,0.0,2.117647058823529,3.1764705882352944,1.5,0.34615384615384615,0.39285714285714285,0.5,0.8928571428571428,0.391304347826087,0.0,0.10714285714285714,0.07142857142857142,0.35714285714285715,0.6428571428571429,0.5555555555555556,230.58620689655172,2.3157419851564964,0.1679,26,0,0,2,1,5,9,1,0,1.0,WC-H,S8,5,TEX,True,TEX,1.279551034724658,7.666666666666667,127,4.290537212482768,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.12410033363813366
1,0.3333333333333333,6,2,3,3,3,0,0,0,0,2,0,0,0,1,0,54.0,15.0,36.0,0.0,54.0,0.0,0.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.5,0.6666666666666666,0.0,0.0,0.5,0.0,1.0,0.0,151.83333333333334,2.7811993517017832,-0.0327,3,0,0,0,0,0,1,0,0,,POS,S8,21,BOS,False,BOS,28.27955103472466,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25508982126785346
10,39.333333333333336,163,38,17,17,17,1,2,37,5,21,12,22,23,14,0,2.5932203389830506,1.3983050847457625,5.796610169491525,0.7627118644067796,2.5932203389830506,5.6440677966101696,2.176470588235294,0.2602739726027397,0.3374233128834356,0.4589041095890411,0.7963274224724767,0.3173076923076923,0.03067484662576687,0.22699386503067484,0.10429447852760736,0.5316455696202531,0.46835443037974683,1.135135135135135,264.27950310559004,-10.878953416491965,0.5048000000000001,146,0,0,10,2,42,37,0,2,0.0,BS-H,S8,37,MIA,False,MIA,2.3473476448941497,40.666666666666664,73,13.13168995538133,6.0,6.0,2.0,1.0,3.0,2.0,0.0,0.0,0.6,1.7135467693290216
9,31.666666666666668,129,33,10,10,7,0,0,25,2,22,16,14,21,13,0,1.894736842105263,1.263157894736842,6.252631578947367,0.37894736842105264,1.3263157894736841,4.7368421052631575,3.5714285714285716,0.2727272727272727,0.31007751937984496,0.4214876033057851,0.7315651226856301,0.3263157894736842,0.015503875968992248,0.1937984496124031,0.05426356589147287,0.5072463768115942,0.4927536231884058,1.0294117647058822,264.57894736842104,-12.478178742342752,0.9386000000000002,121,1,0,6,3,35,34,3,1,0.75,NH-H,S8,39,MIA,False,MIA,1.1848141926193947,32.333333333333336,67,9.50734478752982,6.0,5.0,2.0,2.0,4.0,2.0,0.0,0.0,0.6666666666666666,1.7429653231342594
7,23.0,99,26,12,12,10,0,0,15,4,15,12,6,12,18,0,3.130434782608696,1.565217391304348,6.782608695652174,1.0434782608695652,2.608695652173913,3.9130434782608696,1.5,0.29545454545454547,0.36363636363636365,0.5227272727272727,0.8863636363636364,0.3142857142857143,0.04040404040404041,0.15151515151515152,0.10101010101010101,0.4230769230769231,0.5769230769230769,0.7333333333333333,246.14423076923077,-2.2095008656713375,0.08470000000000003,88,1,0,6,1,22,30,4,2,0.6666666666666666,WC-S,S8,45,ATL,False,ATL,3.540420599942049,23.666666666666668,89,9.262951305027224,4.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.75,0.6009469659554938
1,0.3333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,,329.0,-0.2188006482982172,0.0368,1,0,0,0,0,0,0,0,0,,BB-B,S8,73,COL,False,COL,-4.720448965275342,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02571841714687586
5,30.0,119,25,19,19,7,0,0,10,7,9,14,20,32,11,0,3.8,1.0666666666666667,5.0,1.4,1.4,2.0,1.4285714285714286,0.22522522522522523,0.2689075630252101,0.5315315315315315,0.8004390945567417,0.18947368421052632,0.058823529411764705,0.08403361344537816,0.058823529411764705,0.45569620253164556,0.5443037974683544,0.8372093023255814,258.1544715447154,-1.5822031094938813,0.5779,111,1,0,5,4,36,43,4,1,0.8,FP-S,S8,74,CIN,False,CIN,4.346217701391325,30.0,121,16.0,5.0,5.0,5.0,0.0,2.0,3.0,0.0,0.0,0.4,0.6149842366788311
