G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
13,36,35,11,7,2,4,2,3,28,9,1,0,8,0,2,0,0,0,0,0,2,9,5,0,0.3142857142857143,0.3333333333333333,0.8,1.1333333333333333,0.48571428571428577,0.3333333333333333,1.0,0.08333333333333333,0.2222222222222222,0.027777777777777776,0.125,0.875,0.14285714285714285,226.94736842105263,0.3055555555555556,0.7777777777777778,4.713692752914286,0.3388999999999999,2,14,TT,36.0,36.0,11.0,28.0,0.0,0.0,0.0,S10,1,STL,False,STL,0.611907242442107
14,31,29,8,1,7,1,0,0,9,0,2,0,8,0,0,1,0,0,1,2,3,4,4,0,0.27586206896551724,0.3225806451612903,0.3103448275862069,0.6329254727474972,0.03448275862068967,0.38095238095238093,0.0,0.0,0.25806451612903225,0.06451612903225806,0.42857142857142855,0.5714285714285714,0.75,269.64516129032256,0.2903225806451613,0.3,-3.8002120108664754,-0.3711,6,8,BC,31.0,30.0,8.0,9.0,1.0,0.0,0.0,S10,10,ANA,False,ANA,-0.25900239604023
15,47,39,10,9,2,1,0,7,32,12,8,0,14,0,0,0,0,0,0,6,1,6,2,0,0.2564102564102564,0.3829787234042553,0.8205128205128205,1.203491543917076,0.5641025641025641,0.16666666666666666,,0.14893617021276595,0.2978723404255319,0.1702127659574468,0.4666666666666667,0.5333333333333333,0.875,231.08510638297872,0.2127659574468085,0.7021276595744681,3.3024997794015576,0.3232999999999999,7,8,TT,47.0,47.0,10.0,33.0,0.0,0.0,0.0,S10,14,ARI,False,ARI,0.513730101720208
11,30,25,4,5,0,1,1,2,13,7,4,0,5,0,0,0,0,1,1,3,5,7,2,0,0.16,0.26666666666666666,0.52,0.7866666666666666,0.36,0.10526315789473684,,0.06666666666666667,0.16666666666666666,0.13333333333333333,0.47368421052631576,0.5263157894736842,0.9,261.06666666666666,0.13333333333333333,0.43333333333333335,0.6497991255238393,0.05219999999999999,9,10,SF,30.0,30.0,4.0,13.0,0.0,0.0,0.0,S10,20,PHI,False,PHI,0.18209488517794925
9,21,19,4,3,2,1,0,1,8,5,1,0,3,0,0,0,0,1,1,2,3,7,1,0,0.21052631578947367,0.23809523809523808,0.42105263157894735,0.6591478696741855,0.21052631578947367,0.1875,,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.4,0.6,0.6666666666666666,258.8095238095238,0.19047619047619047,0.42857142857142855,-1.4546698570017387,0.026499999999999975,6,9,BP,21.0,21.0,4.0,9.0,0.0,0.0,0.0,S10,22,SFG,False,SFG,-0.06348650486227814
6,10,8,2,1,0,1,0,1,6,4,0,0,3,0,0,0,0,2,1,1,1,3,0,0,0.25,0.2,0.75,0.95,0.5,0.16666666666666666,,0.1,0.3,0.0,0.375,0.625,0.6,277.1,0.2,0.6,-2.7613446807036266,-0.7043,3,5,SM,10.0,10.0,2.0,6.0,0.0,0.0,0.0,S10,32,BAL,False,BAL,-0.2370961438618409
16,51,46,10,8,7,2,1,0,14,3,4,0,11,1,3,2,0,1,2,10,4,10,2,0,0.21739130434782608,0.27450980392156865,0.30434782608695654,0.5788576300085252,0.08695652173913046,0.2777777777777778,0.6,0.0,0.21568627450980393,0.0784313725490196,0.5517241379310345,0.4482758620689655,1.2307692307692308,268.1636363636364,0.19607843137254902,0.2549019607843137,-5.347338518665539,-0.9005000000000001,16,13,WC,51.0,51.0,10.0,13.0,0.0,0.0,0.0,S10,34,BOS,False,BOS,-0.3356383984030928
7,19,17,2,1,1,1,0,0,3,1,2,0,3,0,0,0,0,0,0,2,3,6,1,0,0.11764705882352941,0.21052631578947367,0.17647058823529413,0.38699690402476783,0.05882352941176472,0.14285714285714285,,0.0,0.15789473684210525,0.10526315789473684,0.4166666666666667,0.5833333333333334,0.7142857142857143,278.8421052631579,0.10526315789473684,0.15789473684210525,-3.6041552465400892,-0.3996,5,7,BC,19.0,19.0,2.0,3.0,0.0,0.0,0.0,S10,41,CIN,False,CIN,-0.28624270865781754
11,28,27,8,2,7,1,0,0,9,1,1,0,1,0,0,0,0,0,3,2,7,7,2,0,0.2962962962962963,0.32142857142857145,0.3333333333333333,0.6547619047619048,0.037037037037037035,0.3076923076923077,,0.0,0.03571428571428571,0.03571428571428571,0.5714285714285714,0.42857142857142855,1.3333333333333333,265.14285714285717,0.2857142857142857,0.32142857142857145,-4.284958004961284,0.15830000000000002,12,9,BC,28.0,28.0,8.0,9.0,0.0,0.0,0.0,S10,48,SFG,False,SFG,-0.31918849271226746
9,26,24,5,2,2,1,1,1,11,2,2,0,9,0,0,0,0,0,0,1,2,4,3,0,0.20833333333333334,0.2692307692307692,0.4583333333333333,0.7275641025641025,0.24999999999999997,0.2857142857142857,,0.038461538461538464,0.34615384615384615,0.07692307692307693,0.3,0.7,0.42857142857142855,256.9230769230769,0.19230769230769232,0.46153846153846156,-1.1533112244351895,0.1599,3,7,BN,26.0,26.0,5.0,12.0,0.0,0.0,0.0,S10,55,CIN,False,CIN,-0.013831479501362343
12,30,27,8,2,5,3,0,0,11,4,2,0,7,0,0,0,0,1,2,2,2,6,3,0,0.2962962962962963,0.3333333333333333,0.4074074074074074,0.7407407407407407,0.1111111111111111,0.38095238095238093,,0.0,0.23333333333333334,0.06666666666666667,0.375,0.625,0.6,234.13333333333333,0.26666666666666666,0.4,-3.7905444696714445,-0.5462,6,10,TT,30.0,30.0,8.0,12.0,0.0,0.0,0.0,S10,59,CWS,False,CWS,-0.26193947434157916
4,11,9,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,4,2,0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,,0.0,0.09090909090909091,0.18181818181818182,0.25,0.75,0.3333333333333333,288.45454545454544,0.0,0.0,-1.8163990911830037,-0.3235,2,6,WC,11.0,11.0,0.0,0.0,0.0,0.0,0.0,S10,63,CHC,False,CHC,-0.1386977524889264
