G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,RE24,WPA,WAR,GB_outs,FB_outs,nPA,nAB,nH,nTB,nBB,nSF,nSH,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,OPS+,Avg Diff,nOBP,nSLG,Season,Team
16,403.0,369.0,107.0,65.0,41.0,31.0,8.0,27.0,235.0,66.0,31.0,0.0,82.0,4.0,0.0,0.0,0.0,3.0,17.0,52.0,36.0,68.0,27.0,0.0,0.8790940662910427,0.5651000000000003,1.643381282364571,105.0,98.0,403.0,401.0,102.0,227.0,2.0,0.0,0.0,0.2899728997289973,0.3424317617866005,0.6368563685636857,0.9792881303502862,0.34688346883468835,0.3041825095057034,0.0,0.06699751861042183,0.20347394540942929,0.07692307692307693,0.5172413793103449,0.4827586206896552,1.0714285714285714,114.0,248.2184902566416,0.25806451612903225,0.5660847880299252,S8,ARI
16,404.0,360.0,105.0,65.0,49.0,26.0,6.0,24.0,215.0,68.0,36.0,0.0,73.0,1.0,15.0,8.0,1.0,7.0,11.0,43.0,56.0,52.0,38.0,0.0,-0.49852068952535245,0.0043999999999998485,1.5094795384845086,110.0,97.0,404.0,401.0,103.0,215.0,2.0,0.0,1.0,0.2916666666666667,0.34987593052109184,0.5972222222222222,0.947098152743314,0.3055555555555555,0.3,0.6521739130434783,0.0594059405940594,0.1806930693069307,0.0891089108910891,0.5314009661835749,0.46859903381642515,1.134020618556701,109.0,252.08854289935815,0.26054590570719605,0.5361596009975063,S8,ATL
16,389.0,358.0,96.0,48.0,39.0,30.0,5.0,22.0,202.0,50.0,29.0,0.0,83.0,0.0,18.0,10.0,0.0,2.0,11.0,26.0,35.0,72.0,48.0,0.0,-17.75305852226482,-0.5878999999999993,-0.27387022031309066,72.0,122.0,389.0,387.0,96.0,201.0,2.0,0.0,0.0,0.2681564245810056,0.3213367609254499,0.5642458100558659,0.8855825709813159,0.29608938547486036,0.2901960784313726,0.6428571428571429,0.056555269922879174,0.2133676092544987,0.07455012853470437,0.3711340206185567,0.6288659793814433,0.5901639344262295,103.0,245.96530885636318,0.2519280205655527,0.5193798449612403,S8,BAL
16,418.0,370.0,101.0,53.0,61.0,20.0,10.0,10.0,171.0,56.0,46.0,1.0,81.0,5.0,2.0,2.0,0.0,2.0,16.0,40.0,43.0,58.0,49.0,0.0,-13.125205396231078,0.6857000000000001,0.3008473116360121,99.0,109.0,418.0,416.0,97.0,171.0,2.0,0.0,0.0,0.27297297297297296,0.35167464114832536,0.46216216216216216,0.8138368033104875,0.1891891891891892,0.3238434163701068,0.5,0.023923444976076555,0.1937799043062201,0.11004784688995216,0.47596153846153844,0.5240384615384616,0.908256880733945,75.0,251.4404059421022,0.23684210526315788,0.4110576923076923,S8,BOS
16,418.0,361.0,96.0,71.0,34.0,28.0,5.0,29.0,221.0,73.0,53.0,3.0,103.0,0.0,0.0,0.0,1.0,3.0,14.0,45.0,27.0,55.0,38.0,0.0,5.876944335029979,0.42980000000000024,2.201062284762118,86.0,96.0,418.0,409.0,96.0,216.0,8.0,0.0,1.0,0.2659279778393352,0.35731414868105515,0.6121883656509696,0.9695025143320247,0.3462603878116344,0.28879310344827586,0.0,0.06937799043062201,0.24641148325358853,0.12679425837320574,0.4725274725274725,0.5274725274725275,0.8958333333333334,103.0,241.5584974910554,0.24940047961630696,0.5281173594132029,S8,CHC
16,404.0,353.0,93.0,49.0,45.0,31.0,3.0,14.0,172.0,49.0,43.0,0.0,93.0,0.0,2.0,3.0,0.0,8.0,15.0,39.0,42.0,65.0,29.0,0.0,-16.868517832230552,-0.45450000000000007,-0.12752017578601124,96.0,102.0,404.0,404.0,95.0,173.0,0.0,0.0,0.0,0.26345609065155806,0.33663366336633666,0.48725212464589235,0.823885788012229,0.2237960339943343,0.3110236220472441,0.4,0.034653465346534656,0.2301980198019802,0.10643564356435643,0.48484848484848486,0.5151515151515151,0.9411764705882353,78.0,247.0317848410758,0.23514851485148514,0.4282178217821782,S8,CIN
16,401.0,355.0,86.0,53.0,44.0,17.0,6.0,19.0,172.0,54.0,44.0,0.0,79.0,0.0,5.0,4.0,1.0,1.0,16.0,46.0,34.0,63.0,48.0,0.0,-13.18459412650848,-1.3288999999999997,0.22929299968146535,96.0,112.0,401.0,400.0,86.0,168.0,0.0,0.0,1.0,0.24225352112676057,0.325,0.48450704225352115,0.8095070422535211,0.24225352112676057,0.2596899224806202,0.5555555555555556,0.04738154613466334,0.1970074812967581,0.10972568578553615,0.46153846153846156,0.5384615384615384,0.8571428571428571,68.0,257.2682926829268,0.215,0.42,S8,CLE
16,379.0,349.0,87.0,43.0,47.0,22.0,3.0,15.0,160.0,44.0,28.0,0.0,64.0,2.0,0.0,2.0,0.0,2.0,15.0,41.0,40.0,79.0,40.0,0.0,-21.12090593370896,-0.49219999999999975,-0.6492522784732733,96.0,121.0,379.0,376.0,87.0,162.0,3.0,0.0,0.0,0.2492836676217765,0.3034300791556728,0.4584527220630373,0.7618828012187101,0.20916905444126077,0.2647058823529412,0.0,0.0395778364116095,0.16886543535620052,0.07387862796833773,0.4423963133640553,0.5576036866359447,0.7933884297520661,79.0,254.94683537541675,0.23746701846965698,0.4308510638297872,S8,COL
16,403.0,360.0,96.0,50.0,46.0,32.0,3.0,15.0,179.0,51.0,39.0,1.0,80.0,5.0,0.0,0.0,0.0,4.0,13.0,42.0,47.0,64.0,35.0,0.0,-14.436982227986892,0.2530000000000001,0.11177365293677827,102.0,103.0,403.0,402.0,92.0,175.0,1.0,0.0,0.0,0.26666666666666666,0.3349875930521092,0.49722222222222223,0.8322098152743314,0.23055555555555557,0.30111524163568776,0.0,0.03722084367245657,0.19851116625310175,0.0967741935483871,0.4975609756097561,0.5024390243902439,0.9902912621359223,78.0,251.34323304383787,0.23076923076923078,0.43532338308457713,S8,CWS
16,405.0,363.0,96.0,61.0,46.0,28.0,3.0,19.0,187.0,63.0,40.0,0.0,74.0,1.0,4.0,4.0,0.0,2.0,9.0,37.0,39.0,68.0,51.0,0.0,-3.4963709582642934,0.9171,1.2135542433121913,85.0,121.0,405.0,404.0,92.0,180.0,1.0,0.0,0.0,0.2644628099173554,0.3358024691358025,0.5151515151515151,0.8509539842873176,0.25068870523415976,0.28308823529411764,0.5,0.04691358024691358,0.18271604938271604,0.09876543209876543,0.41262135922330095,0.587378640776699,0.7024793388429752,79.0,253.90281273626886,0.22962962962962963,0.44554455445544555,S8,DET
