G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
1,3.3333333333333335,13,1,0,0,2,0,0,4,0,0,1,1,2,2,0,0.0,0.8999999999999999,1.7999999999999998,0.0,3.5999999999999996,7.199999999999999,2.0,0.09090909090909091,0.23076923076923078,0.18181818181818182,0.4125874125874126,0.14285714285714285,0.0,0.3076923076923077,0.15384615384615385,0.3333333333333333,0.6666666666666666,0.5,303.7692307692308,-1.1324882394571418,0.37829999999999997,11,0,0,1,0,2,4,0,0,,NH-H,S12,39,COL,False,COL,0.7467933491686459,3.0,34,0.48275862068965514,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.17878161083096006
1,2.0,8,2,0,0,1,0,0,0,0,1,2,1,0,2,0,0.0,1.5,6.0,0.0,3.0,0.0,0.0,0.2857142857142857,0.375,0.42857142857142855,0.8035714285714286,0.2857142857142857,0.0,0.0,0.125,0.6666666666666666,0.3333333333333333,2.0,291.125,-1.528662420382166,0.1356,7,0,0,1,0,4,2,0,0,,BF-S,S12,76,COL,False,COL,2.846793349168646,2.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1931941108906756
1,2.0,6,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,271.5,-1.5286624203821657,0.16679999999999998,6,0,0,0,0,2,4,0,0,,EG-S,S12,103,BAL,False,BAL,1.346793349168646,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.18311214367756085
1,2.0,6,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.6,0.4,1.5,356.1666666666667,-1.5286624203821657,0.1496,6,0,0,0,0,3,2,0,0,,BF-H,S12,114,TEX,False,TEX,0.3467933491686459,2.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.18311214367756085
1,1.0,7,4,4,4,0,0,0,0,1,1,0,1,1,1,0,24.0,4.0,24.0,6.0,0.0,0.0,,0.5714285714285714,0.5714285714285714,1.2857142857142858,1.8571428571428572,0.5,0.14285714285714285,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,177.0,3.235668789808917,-0.10370000000000001,7,0,0,2,0,1,2,0,0,,WC-H,S12,183,SDP,False,SDP,14.346793349168646,1.0,842,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.2882799937349901
1,2.0,7,1,0,0,0,0,0,2,0,1,1,1,0,2,0,0.0,0.5,3.0,0.0,0.0,6.0,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2,0.0,0.2857142857142857,0.0,0.5,0.5,1.0,308.2857142857143,-1.5286624203821657,0.12279999999999999,7,0,0,0,0,2,2,0,0,,EN-S,S12,198,ATL,False,ATL,-0.6532066508313541,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1881531272841182
1,3.0,14,4,4,4,2,0,0,2,2,1,2,2,2,0,0,8.0,2.0,8.0,4.0,4.0,4.0,1.0,0.3333333333333333,0.42857142857142855,1.0,1.4285714285714286,0.25,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.3333333333333333,2.0,252.875,1.7070063694267512,-0.29,12,0,0,0,1,4,2,1,1,0.5,FP-S,S12,275,SDP,False,SDP,10.68012668250198,3.0,210,3.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.10012686645087185
1,2.3333333333333335,9,3,2,2,0,0,0,0,0,1,1,0,3,2,0,5.142857142857142,1.2857142857142856,7.7142857142857135,0.0,0.0,0.0,,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.2,233.3,0.04033970276008475,-0.10970000000000002,9,0,0,2,0,1,5,0,1,0.0,BF-S,S12,290,LAD,False,LAD,1.346793349168646,2.0,213,2.027586206896552,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.04133488218300791
1,2.3333333333333335,17,8,7,7,2,0,0,1,3,4,0,0,5,1,0,18.0,4.285714285714286,20.57142857142857,7.7142857142857135,5.142857142857142,2.571428571428571,0.5,0.5333333333333333,0.5882352941176471,1.2,1.788235294117647,0.45454545454545453,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.0,1.0,0.0,196.05882352941177,5.471337579617835,0.008200000000000002,15,0,0,1,0,0,6,0,0,,FP-S,S12,361,PIT,False,PIT,19.775364777740073,3.0,70,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.46143703665030805
1,4.666666666666667,18,4,0,0,0,0,0,1,0,2,2,7,1,3,0,0.0,0.8571428571428571,5.142857142857142,0.0,0.0,1.2857142857142856,,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.23529411764705882,0.0,0.05555555555555555,0.0,0.6923076923076923,0.3076923076923077,2.25,312.22222222222223,-3.821656050955414,0.1714,18,0,0,2,0,9,4,0,0,,EG-H,S12,378,PHI,False,PHI,0.9182219205972173,4.666666666666667,15,0.3275862068965517,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.47290331001357416
1,2.6666666666666665,12,6,3,3,0,0,0,0,3,2,2,1,2,1,0,6.75,2.25,13.5,6.75,0.0,0.0,,0.5,0.5,1.4166666666666667,1.9166666666666667,0.3333333333333333,0.25,0.0,0.0,0.625,0.375,1.6666666666666667,185.16666666666666,1.749115357395612,-0.17700000000000002,12,0,0,0,1,5,3,0,0,,EG-B,S12,394,TOR,False,TOR,15.971793349168646,3.0,210,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.11441973246087267
1,1.3333333333333333,8,5,3,3,0,0,0,0,0,2,0,0,1,2,0,13.5,3.75,22.5,0.0,0.0,0.0,,0.625,0.625,1.0,1.625,0.625,0.0,0.0,0.0,0.0,1.0,0.0,167.44444444444446,1.1935598018400562,-0.19069999999999998,8,0,0,3,0,0,3,0,1,0.0,WC-H,S12,395,TOR,False,TOR,1.346793349168646,1.0,723,3.4356687898089175,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.07902811133154661
1,2.0,15,8,4,4,1,0,0,2,2,3,2,0,1,1,0,12.0,4.5,24.0,6.0,3.0,6.0,2.0,0.5714285714285714,0.6,1.2142857142857142,1.814285714285714,0.6,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.5,0.5,1.0,175.13333333333333,3.907006369426752,-0.3784,14,0,0,3,0,2,2,0,0,,TD-H,S12,583,HOU,False,HOU,13.846793349168646,2.3333333333333335,353,3.916666666666667,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.31508588284431455
1,2.0,8,1,1,1,1,0,0,1,1,0,2,0,1,2,0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,0.14285714285714285,0.25,0.5714285714285714,0.8214285714285714,0.0,0.125,0.125,0.125,0.4,0.6,0.6666666666666666,293.5,-0.5286624203821657,0.0005000000000000004,7,0,0,0,0,2,3,0,0,,TT-H,S12,607,CWS,False,CWS,8.346793349168646,2.0,105,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.09319411089067557
