G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
8,14,13,3,3,1,1,0,1,7,1,1,0,1,0,0,0,0,0,0,0,1,3,5,0,0.23076923076923078,0.2857142857142857,0.5384615384615384,0.8241758241758241,0.30769230769230765,0.18181818181818182,,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.1111111111111111,0.8888888888888888,0.125,274.07142857142856,0.2857142857142857,0.5384615384615384,-0.6440944339510137,0.06250000000000001,1,8,S,14,13,3,7,1,0,0,S7,2,COL,False,COL,-0.009607947651605475
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,490.0,0.0,0.0,-0.23784247029145533,-0.0092,1,0,P,1,1,0,0,0,0,0,S7,3,KCR,False,KCR,-0.019869854476038683
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,407.0,0.0,0.0,-0.1964873765093304,-0.011399999999999999,1,0,P,1,1,0,0,0,0,0,S7,5,BAL,False,BAL,-0.015734345097826192
14,34,27,7,4,2,3,0,2,16,4,7,1,7,0,0,0,0,0,2,3,3,3,4,0,0.25925925925925924,0.4117647058823529,0.5925925925925926,1.0043572984749454,0.3333333333333333,0.2777777777777778,,0.058823529411764705,0.20588235294117646,0.20588235294117646,0.5333333333333333,0.4666666666666667,1.1428571428571428,249.57575757575756,0.4117647058823529,0.5925925925925926,-0.05122289133832242,0.3222000000000001,8,7,TT,34,27,7,16,7,0,0,S7,14,ARI,False,ARI,0.12796705767180067
9,20,19,4,2,2,1,0,1,8,2,1,0,3,0,0,0,0,0,0,3,3,5,1,0,0.21052631578947367,0.25,0.42105263157894735,0.6710526315789473,0.21052631578947367,0.2,,0.05,0.15,0.05,0.5,0.5,1.0,297.05263157894734,0.25,0.3888888888888889,-1.4771851081410579,0.07529999999999999,6,6,BC,20,18,3,7,2,0,0,S7,17,2TM,False,STL,-0.0694306597519688
3,6,5,1,1,0,0,0,1,4,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0.2,0.3333333333333333,0.8,1.1333333333333333,0.6000000000000001,0.0,,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,1.0,0.0,243.2,0.3333333333333333,0.8,-0.18905332033403,0.11479999999999999,0,2,BC,6,5,1,4,1,0,0,S7,17,CIN,True,CIN,0.0045810232852381005
6,14,14,3,1,2,1,0,0,4,1,0,0,1,0,0,0,0,0,0,3,3,3,1,0,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.5,0.07142857142857142,0.23076923076923078,,0.0,0.07142857142857142,0.0,0.6,0.4,1.5,316.2857142857143,0.21428571428571427,0.23076923076923078,-1.2881317878070275,-0.03949999999999999,6,4,BC,14,13,2,3,1,0,0,S7,17,STL,True,STL,-0.07401168303720686
16,47,43,12,5,9,2,0,1,17,2,4,0,5,0,0,0,0,0,0,5,9,8,4,0,0.27906976744186046,0.3404255319148936,0.3953488372093023,0.7357743691241959,0.11627906976744184,0.2972972972972973,,0.02127659574468085,0.10638297872340426,0.0851063829787234,0.5384615384615384,0.46153846153846156,1.1666666666666667,258.40425531914894,0.3404255319148936,0.37209302325581395,-3.7882725247329883,-0.2569000000000001,14,12,1B,47,43,12,16,4,0,0,S7,18,BOS,False,BOS,-0.19485080247727687
11,29,26,4,5,2,1,0,1,8,2,3,0,14,0,0,0,0,0,0,0,2,5,1,0,0.15384615384615385,0.2413793103448276,0.3076923076923077,0.5490716180371353,0.15384615384615385,0.2727272727272727,,0.034482758620689655,0.4827586206896552,0.10344827586206896,0.25,0.75,0.3333333333333333,253.3448275862069,0.2413793103448276,0.28,-2.8709686971807193,-0.23729999999999993,2,6,TT,29,25,3,7,4,0,0,S7,20,SDP,False,SDP,-0.1735794856779733
13,37,32,10,6,3,5,1,1,20,7,5,0,5,1,0,3,0,0,0,4,1,3,9,0,0.3125,0.40540540540540543,0.625,1.0304054054054055,0.3125,0.34615384615384615,0.0,0.02702702702702703,0.13513513513513514,0.13513513513513514,0.29411764705882354,0.7058823529411765,0.4166666666666667,241.25641025641025,0.40540540540540543,0.625,1.7362884710292255,0.4458000000000001,5,12,XB,37,32,10,20,5,0,0,S7,22,SFG,False,SFG,0.318461371567876
