G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
12,32,25,7,5,4,2,0,1,12,4,6,0,11,1,1,0,0,1,0,1,3,3,1,0,0.28,0.40625,0.48,0.88625,0.19999999999999996,0.42857142857142855,1.0,0.03125,0.34375,0.1875,0.4444444444444444,0.5555555555555556,0.8,239.84375,0.40625,0.48,-0.28886079157813827,0.0673,4,5,BP,32,25,7,12,6,1,0,S4,1,DET,False,DET,0.08767570362148577
10,23,22,4,2,1,2,0,1,9,3,0,0,7,2,0,0,0,1,0,3,4,4,1,0,0.18181818181818182,0.17391304347826086,0.4090909090909091,0.5830039525691699,0.2272727272727273,0.2,,0.043478260869565216,0.30434782608695654,0.0,0.5384615384615384,0.46153846153846156,1.1666666666666667,280.57142857142856,0.17391304347826086,0.3181818181818182,-2.1614006647021777,-0.31597300000000006,7,6,BP,23,22,4,7,0,1,0,S4,6,ATL,False,ATL,-0.1323612850975962
4,7,7,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.2,,0.0,0.2857142857142857,0.0,0.25,0.75,0.3333333333333333,298.57142857142856,0.2857142857142857,0.16666666666666666,-1.2628887550800536,-0.17759999999999998,1,3,S,7,6,1,1,1,0,0,S4,7,2TM,False,MIN,-0.10079098552503356
3,6,6,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.2,,0.0,0.16666666666666666,0.0,0.25,0.75,0.3333333333333333,283.3333333333333,0.3333333333333333,0.2,-1.004286774920066,-0.1427,1,3,S,6,5,1,1,1,0,0,S4,7,ARI,True,ARI,-0.07857334322088791
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,390.0,0.0,0.0,-0.2586019801599877,-0.0349,0,0,S,1,1,0,0,0,0,0,S4,7,MIN,True,MIN,-0.022217642304145656
14,36,31,8,7,6,0,0,2,14,4,5,0,3,0,1,0,0,0,7,9,4,5,2,0,0.25806451612903225,0.3611111111111111,0.45161290322580644,0.8127240143369175,0.1935483870967742,0.23076923076923078,1.0,0.05555555555555555,0.08333333333333333,0.1388888888888889,0.7407407407407407,0.25925925925925924,2.857142857142857,274.72972972972974,0.3611111111111111,0.45161290322580644,-1.9391950673519216,0.09369999999999999,20,7,1B,36,31,8,14,5,0,0,S4,10,BAL,False,BAL,-0.06278750110848011
3,5,3,1,0,0,1,0,0,2,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0.3333333333333333,0.6,0.6666666666666666,1.2666666666666666,0.3333333333333333,0.5,,0.0,0.2,0.4,0.0,1.0,0.0,157.33333333333334,0.6,0.6666666666666666,1.0239458143926141,0.1396,0,1,SM,5,3,1,2,2,0,0,S4,12,OAK,False,OAK,0.12060735999852698
5,10,10,3,2,1,1,0,1,7,1,0,0,1,0,0,0,0,0,0,0,2,3,1,0,0.3,0.3,0.7,1.0,0.39999999999999997,0.25,,0.1,0.1,0.0,0.3333333333333333,0.6666666666666666,0.5,221.0,0.4,0.8888888888888888,0.5200289916559979,-0.13130000000000003,2,4,WC,10,9,3,8,1,0,0,S4,13,ARI,False,ARI,0.08842845628413092
12,30,25,3,0,1,2,0,0,5,2,4,0,8,0,0,0,0,1,0,3,2,8,2,0,0.12,0.23333333333333334,0.2,0.43333333333333335,0.08000000000000002,0.16666666666666666,,0.0,0.26666666666666666,0.13333333333333333,0.3125,0.6875,0.45454545454545453,240.86666666666667,0.26666666666666666,0.24,-2.446958507860964,-0.5739279999999999,5,11,TT,30,25,4,6,4,1,0,S4,14,OAK,False,OAK,-0.13541917943050302
7,12,12,4,1,1,2,0,1,9,2,0,0,2,0,0,0,0,0,2,2,2,2,0,0,0.3333333333333333,0.3333333333333333,0.75,1.0833333333333333,0.4166666666666667,0.3333333333333333,,0.08333333333333333,0.16666666666666666,0.0,0.75,0.25,3.0,241.08333333333334,0.3333333333333333,0.75,0.032299228989140505,-0.102946,6,2,BP,12,12,4,9,0,0,0,S4,16,MIN,False,MIN,0.046940591441151404
