G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,RE24,WPA,WAR,GB_outs,FB_outs,nPA,nAB,nH,nTB,nBB,nSF,nSH,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,OPS+,Avg Diff,nOBP,nSLG,Season,Team
16,414.0,372.0,111.0,71.0,52.0,27.0,11.0,21.0,223.0,73.0,40.0,2.0,67.0,0.0,4.0,3.0,0.0,2.0,14.0,54.0,48.0,55.0,39.0,0.0,9.932806984656958,3.1271000000000004,2.5667685316059043,116.0,96.0,410.0,367.0,105.0,215.0,40.0,3.0,0.0,0.29838709677419356,0.3647342995169082,0.5994623655913979,0.964196665108306,0.3010752688172043,0.3146853146853147,0.5714285714285714,0.050724637681159424,0.16183574879227053,0.0966183574879227,0.5471698113207547,0.4528301886792453,1.2083333333333333,111.0,245.14080417318428,0.35365853658536583,0.5858310626702997,S5,ARI
16,418.0,369.0,98.0,70.0,42.0,21.0,6.0,29.0,218.0,73.0,46.0,2.0,77.0,4.0,18.0,3.0,0.0,3.0,13.0,37.0,55.0,63.0,42.0,0.0,4.813717294186574,1.0232000000000003,2.07006234355539,105.0,108.0,417.0,372.0,99.0,216.0,41.0,4.0,0.0,0.26558265582655827,0.3444976076555024,0.5907859078590786,0.935283515514581,0.3252032520325203,0.2593984962406015,0.8571428571428571,0.06937799043062201,0.18421052631578946,0.11004784688995216,0.49295774647887325,0.5070422535211268,0.9722222222222222,105.0,242.72065188398764,0.33573141486810554,0.5806451612903226,S5,ATL
16,407.0,369.0,118.0,66.0,64.0,31.0,3.0,20.0,215.0,65.0,33.0,2.0,60.0,0.0,29.0,12.0,1.0,4.0,10.0,41.0,46.0,51.0,57.0,0.0,4.664041112848121,3.1208,2.0132870776811034,97.0,112.0,404.0,360.0,107.0,213.0,39.0,4.0,1.0,0.31978319783197834,0.37192118226600984,0.5826558265582655,0.9545770088242753,0.2628726287262872,0.33447098976109213,0.7073170731707317,0.04914004914004914,0.14742014742014742,0.08108108108108109,0.46411483253588515,0.5358851674641149,0.8660714285714286,115.0,241.42958555116758,0.36228287841191065,0.5916666666666667,S5,BAL
16,425.0,394.0,125.0,77.0,51.0,36.0,8.0,30.0,267.0,77.0,28.0,0.0,85.0,1.0,11.0,4.0,0.0,3.0,7.0,45.0,43.0,56.0,43.0,0.0,13.80160769486514,2.7291,2.9954562503671625,95.0,102.0,424.0,392.0,116.0,242.0,28.0,4.0,0.0,0.31725888324873097,0.36,0.6776649746192893,1.0376649746192892,0.36040609137055835,0.33687943262411346,0.7333333333333333,0.07058823529411765,0.2,0.06588235294117648,0.48223350253807107,0.5177664974619289,0.9313725490196079,112.0,245.01203512396694,0.33962264150943394,0.6173469387755102,S5,BOS
16,406.0,363.0,100.0,55.0,44.0,30.0,10.0,16.0,198.0,53.0,38.0,0.0,50.0,0.0,13.0,5.0,1.0,4.0,10.0,41.0,47.0,77.0,52.0,0.0,-8.665047359001745,0.10039999999999996,0.6765775352469863,98.0,133.0,406.0,372.0,98.0,207.0,31.0,2.0,1.0,0.27548209366391185,0.34074074074074073,0.5454545454545454,0.8861952861952862,0.26997245179063356,0.27906976744186046,0.7222222222222222,0.03940886699507389,0.12315270935960591,0.09359605911330049,0.42424242424242425,0.5757575757575758,0.7368421052631579,95.0,249.68632075471697,0.31851851851851853,0.5564516129032258,S5,CHC
16,445.0,401.0,116.0,71.0,49.0,36.0,6.0,25.0,239.0,79.0,42.0,4.0,64.0,6.0,6.0,2.0,0.0,2.0,12.0,55.0,54.0,69.0,45.0,0.0,4.526121966872816,1.7464999999999995,2.1439215825505493,121.0,116.0,445.0,402.0,108.0,235.0,43.0,0.0,0.0,0.2892768079800499,0.3550561797752809,0.5960099750623441,0.951066154837625,0.3067331670822942,0.2898089171974522,0.75,0.056179775280898875,0.14382022471910114,0.09438202247191012,0.510548523206751,0.48945147679324896,1.043103448275862,106.0,248.79947212679977,0.3393258426966292,0.5845771144278606,S5,CIN
16,392.0,347.0,97.0,66.0,46.0,19.0,10.0,22.0,202.0,66.0,41.0,2.0,64.0,9.0,2.0,0.0,0.0,4.0,16.0,44.0,54.0,52.0,40.0,0.0,5.526474530831102,1.0868999999999998,2.042519990742438,114.0,96.0,392.0,342.0,89.0,190.0,45.0,5.0,0.0,0.27953890489913547,0.3520408163265306,0.5821325648414986,0.9341733811680292,0.3025936599423631,0.2830188679245283,1.0,0.05612244897959184,0.16326530612244897,0.10459183673469388,0.5428571428571428,0.45714285714285713,1.1875,102.0,254.3708188362522,0.34183673469387754,0.5555555555555556,S5,CLE
16,403.0,361.0,94.0,57.0,39.0,25.0,10.0,20.0,199.0,59.0,37.0,1.0,73.0,0.0,14.0,7.0,0.0,5.0,5.0,39.0,36.0,83.0,41.0,0.0,-6.761120796482651,0.4014000000000002,0.8555681057515026,80.0,129.0,403.0,363.0,94.0,202.0,36.0,4.0,0.0,0.26038781163434904,0.3250620347394541,0.5512465373961218,0.8763085721355759,0.2908587257617728,0.27106227106227104,0.6666666666666666,0.04962779156327544,0.18114143920595532,0.09181141439205956,0.3827751196172249,0.6172248803827751,0.6201550387596899,96.0,245.17892061421117,0.3225806451612903,0.5564738292011019,S5,COL
16,380.0,340.0,78.0,46.0,41.0,19.0,7.0,11.0,144.0,47.0,38.0,1.0,81.0,13.0,1.0,1.0,0.0,2.0,11.0,48.0,41.0,64.0,30.0,0.0,-14.671414651226943,-2.028,-0.02287727045293786,100.0,96.0,379.0,339.0,76.0,139.0,38.0,2.0,0.0,0.22941176470588234,0.30526315789473685,0.4235294117647059,0.7287925696594427,0.19411764705882353,0.268,0.5,0.02894736842105263,0.2131578947368421,0.1,0.5102040816326531,0.4897959183673469,1.0416666666666667,63.0,258.0036043010244,0.3007915567282322,0.41002949852507375,S5,CWS
16,392.0,347.0,94.0,46.0,52.0,20.0,4.0,18.0,176.0,46.0,40.0,0.0,74.0,4.0,4.0,2.0,0.0,5.0,13.0,44.0,34.0,77.0,29.0,0.0,-15.00687041530201,-1.4797000000000002,-0.010814503870873182,91.0,111.0,390.0,343.0,89.0,177.0,42.0,5.0,0.0,0.27089337175792505,0.34183673469387754,0.5072046109510087,0.8490413456448862,0.2363112391930836,0.2923076923076923,0.6666666666666666,0.04591836734693878,0.18877551020408162,0.10204081632653061,0.4504950495049505,0.5495049504950495,0.8198198198198198,93.0,242.42190342392965,0.33589743589743587,0.5160349854227405,S5,DET
